 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13
1,2777.790,3175.203,3385.250,4146.510,3655.731,3994.400,4094.964,4336.589,4068.825,4003.635,4133.524,4560.527,4362.884
2,2771.871,3174.000,3394.517,4148.941,3660.827,3989.471,4105.214,4343.897,4035.137,4004.635,4140.787,4550.384,4365.565
3,2773.444,3179.927,3391.517,4130.314,3655.471,3998.871,4094.322,4332.822,4047.962,4010.562,4149.229,4576.589,4359.435
4,2784.169,3165.014,3388.900,4137.961,3649.394,3976.614,4083.869,4339.294,4053.925,4000.010,4138.558,4553.652,4356.870
5,2780.371,3171.754,3411.483,4117.000,3642.981,3987.471,4082.345,4335.315,4034.837,4024.969,4120.476,4560.473,4368.623
6,2781.306,3164.638,3373.083,4114.843,3647.644,3988.943,4095.405,4335.877,4047.475,4018.698,4122.442,4536.750,4360.928
7,2783.210,3167.478,3393.500,4125.667,3656.760,3982.714,4099.679,4316.925,4061.475,4010.573,4119.394,4545.446,4354.928
8,2775.258,3170.116,3389.250,4125.471,3642.836,3991.714,4097.905,4328.760,4051.975,4009.740,4136.344,4560.482,4360.522
9,2770.516,3158.073,3376.733,4142.765,3648.414,3972.214,4084.869,4333.048,4034.788,4010.990,4122.738,4540.411,4355.739
10,2789.242,3154.420,3388.983,4116.608,3647.269,4004.014,4074.619,4323.596,4041.400,4000.760,4139.082,4552.179,4353.015
11,2775.460,3160.275,3401.033,4132.745,3645.461,3979.586,4086.357,4334.781,4032.288,4004.604,4142.820,4557.679,4361.145
12,2774.008,3161.304,3370.167,4118.373,3676.385,3980.286,4092.548,4337.048,4050.562,4036.562,4122.049,4561.964,4360.464
13,2788.218,3143.797,3375.400,4129.373,3654.211,4011.343,4083.810,4327.068,4055.175,4042.990,4134.902,4551.366,4378.203
14,2770.306,3149.725,3394.700,4105.745,3654.144,3970.257,4100.512,4325.685,4038.675,4069.760,4116.885,4549.518,4362.623
15,2776.718,3151.116,3410.583,4128.882,3647.125,3979.143,4084.619,4332.596,4040.387,4061.323,4145.049,4562.312,4373.652
16,2786.371,3151.377,3386.467,4113.412,3640.971,3981.343,4089.833,4335.986,4034.100,4056.104,4115.820,4548.491,4358.203
17,2785.186,3159.507,3373.350,4132.216,3657.577,3984.572,4088.381,4331.363,4047.812,4056.865,4132.869,4566.312,4357.493
18,2781.742,3148.841,3389.900,4114.608,3656.760,3994.572,4068.893,4312.493,4039.663,4042.458,4156.656,4557.821,4350.753
19,2774.153,3136.290,3394.783,4116.941,3633.894,3980.214,4075.702,4323.356,4022.012,4054.042,4126.918,4542.411,4353.681
20,2772.879,3153.464,3396.533,4107.882,3654.577,3963.043,4088.107,4315.322,4023.863,4047.760,4106.820,4535.446,4347.072
21,2780.581,3139.493,3381.867,4108.000,3635.577,3972.300,4082.095,4320.411,4038.000,4038.281,4126.771,4555.839,4350.783
22,2777.306,3134.043,3391.033,4108.490,3635.529,3968.957,4082.167,4335.007,4033.600,4043.594,4106.377,4548.643,4371.275
23,2768.597,3140.073,3362.633,4116.627,3637.721,3979.457,4086.464,4340.568,4040.675,4034.979,4130.606,4538.607,4350.435
24,2779.686,3149.681,3393.067,4107.863,3631.885,3971.271,4073.893,4330.438,4039.587,4019.479,4117.115,4558.018,4363.087
25,2781.621,3133.826,3388.717,4116.569,3647.231,3971.871,4079.155,4326.562,4027.562,4023.812,4141.983,4544.625,4343.435
26,2784.226,3135.826,3385.867,4131.196,3652.923,3972.857,4093.988,4317.911,4031.788,4016.500,4139.394,4546.857,4373.435
27,2780.597,3153.855,3389.317,4128.392,3665.183,3971.229,4087.952,4308.665,4022.325,4014.677,4116.623,4546.634,4349.985
28,2775.048,3133.739,3384.133,4113.451,3642.731,3980.900,4077.333,4332.151,4028.600,4015.438,4117.902,4549.839,4350.753
29,2773.750,3133.957,3398.017,4119.588,3644.164,3972.386,4087.488,4325.726,4021.300,4002.167,4126.426,4544.831,4341.522
30,2775.274,3126.478,3380.217,4120.686,3635.029,3972.200,4070.440,4304.103,4024.125,4004.979,4120.459,4540.179,4346.188
31,2768.653,3116.406,3381.200,4112.510,3639.039,3957.743,4073.500,4313.651,4017.188,4009.292,4116.361,4545.223,4331.725
32,2767.266,3124.246,3383.633,4104.431,3642.260,3968.214,4085.476,4336.644,4026.450,4006.062,4111.377,4561.098,4331.159
33,2779.661,3133.420,3373.783,4117.451,3645.865,3949.171,4071.369,4306.438,4019.575,4006.115,4110.606,4534.929,4363.102
34,2779.919,3139.087,3390.133,4108.412,3635.365,3987.229,4082.952,4319.904,4011.800,4014.281,4136.246,4551.402,4343.319
35,2778.452,3131.710,3390.750,4107.882,3627.673,3963.457,4085.667,4326.199,4032.575,4019.104,4130.803,4550.089,4348.783
36,2774.105,3135.493,3370.800,4118.079,3627.596,3971.829,4078.178,4331.082,4029.075,4025.719,4131.033,4547.571,4336.232
37,2771.395,3140.565,3387.333,4140.353,3627.375,3976.529,4081.417,4315.514,4030.400,4025.583,4122.164,4553.554,4350.362
38,2778.589,3123.333,3387.817,4089.804,3641.490,3960.857,4074.976,4321.247,4016.837,4022.656,4120.459,4534.946,4362.522
39,2770.250,3141.014,3384.483,4111.216,3627.029,3952.614,4077.524,4310.623,4022.438,4025.573,4122.738,4531.339,4328.247
40,2768.613,3131.870,3369.433,4114.000,3629.519,3978.200,4075.167,4321.404,4019.012,4024.771,4109.197,4542.777,4341.565
41,2773.008,3124.116,3390.633,4101.412,3638.048,3976.072,4091.178,4320.014,4008.050,3997.417,4135.705,4552.714,4337.551
42,2773.411,3136.275,3385.250,4114.294,3635.317,3972.928,4090.964,4306.267,4017.325,4014.354,4108.524,4538.179,4353.102
43,2774.968,3128.536,3374.600,4103.726,3628.481,3968.371,4072.250,4315.425,4004.438,4014.833,4123.442,4538.759,4331.768
44,2775.653,3118.797,3383.917,4111.921,3634.308,3975.600,4080.833,4311.733,4018.600,4016.562,4135.098,4526.044,4364.739
45,2768.169,3126.449,3387.450,4107.490,3628.481,3961.843,4067.238,4321.253,4026.400,4002.427,4136.902,4552.009,4390.667
46,2780.306,3133.478,3382.950,4109.294,3649.981,3965.886,4081.274,4324.000,4014.863,3996.917,4132.246,4533.107,4387.391
