 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6
1,4357.600,4041.618,4165.385,3440.542,3744.587,3013.919
2,4367.500,4023.779,4162.917,3445.260,3742.812,3010.527
3,4350.000,4035.853,4172.109,3439.474,3758.950,3012.297
4,4353.317,4036.647,4172.912,3444.021,3724.800,3015.243
5,4348.833,4043.691,4172.641,3428.870,3747.350,3011.081
6,4345.950,4044.338,4175.146,3438.927,3742.738,3002.574
7,4343.100,4051.912,4170.432,3448.172,3746.300,3019.311
8,4335.533,4050.559,4173.188,3440.292,3730.350,3010.020
9,4343.350,4045.015,4171.969,3445.276,3740.188,3010.656
10,4360.917,4047.265,4160.088,3440.271,3741.788,3018.513
11,4333.533,4044.706,4169.787,3446.391,3748.488,3018.959
12,4361.167,4044.750,4162.412,3444.359,3748.100,3013.020
13,4359.100,4034.485,4177.630,3451.667,3740.150,3017.216
14,4337.150,4038.706,4174.682,3438.854,3758.650,3012.304
15,4349.133,4044.956,4187.583,3438.016,3767.012,3009.797
16,4357.633,4050.721,4171.281,3450.755,3742.600,3012.791
17,4349.000,4033.323,4178.620,3441.068,3752.425,3016.689
18,4361.467,4048.368,4179.979,3453.078,3747.062,3009.811
19,4356.250,4046.971,4173.823,3439.786,3741.812,3020.763
20,4372.733,4042.794,4182.401,3452.245,3754.300,3007.520
21,4334.817,4041.103,4173.901,3446.682,3756.663,3012.953
22,4353.800,4044.618,4172.713,3442.812,3748.300,3018.561
23,4365.367,4042.927,4174.287,3444.406,3749.475,3014.439
24,4361.783,4038.765,4175.000,3449.698,3763.738,3012.115
25,4362.750,4036.471,4173.000,3444.031,3765.725,3012.311
26,4346.333,4049.765,4176.557,3441.693,3747.350,3009.453
27,4341.017,4047.868,4184.885,3448.573,3738.650,3013.973
28,4343.767,4050.985,4173.417,3446.865,3747.887,3024.068
29,4346.967,4066.029,4184.531,3444.990,3751.725,3021.189
30,4353.183,4036.618,4163.443,3437.094,3750.450,3013.588
31,4362.867,4042.691,4165.422,3441.141,3728.850,3008.493
32,4317.100,4054.618,4171.396,3448.182,3763.425,3015.473
33,4360.600,4048.765,4175.443,3447.266,3748.337,3012.669
34,4358.350,4046.853,4168.740,3439.115,3737.762,3002.547
35,4347.250,4052.059,4173.870,3447.729,3749.825,3008.054
36,4356.533,4049.677,4179.562,3442.896,3759.887,3020.013
37,4355.467,4047.691,4178.000,3446.589,3750.363,3011.284
38,4361.567,4056.838,4181.760,3449.714,3743.738,3013.608
39,4347.283,4065.221,4174.938,3439.255,3750.700,3007.628
40,4361.483,4033.427,4170.557,3436.964,3731.300,3008.034
41,4353.400,4034.338,4173.833,3455.651,3766.488,3014.000
42,4329.733,4034.279,4177.682,3445.271,3759.750,3008.318
43,4332.750,4052.235,4168.599,3446.026,3758.113,3007.277
44,4361.450,4055.103,4175.760,3446.698,3749.075,3016.203
45,4334.933,4040.779,4171.682,3443.953,3760.825,3011.142
46,4352.550,4049.985,4178.630,3438.917,3742.988,3009.507
47,4359.633,4052.427,4169.880,3440.333,3747.212,3016.892
48,4357.367,4053.691,4177.776,3454.521,3746.125,3011.034
49,4338.100,4041.368,4181.542,3442.271,3746.387,3017.676
50,4351.650,4046.985,4177.740,3440.958,3744.712,3000.412
51,4355.583,4046.191,4172.750,3434.703,3746.650,3009.041
52,4340.633,4060.882,4183.443,3442.677,3766.375,3021.635
53,4351.233,4046.250,4181.677,3445.786,3752.938,3013.230
54,4357.733,4033.897,4169.599,3451.646,3757.150,3023.487
55,4335.917,4053.088,4172.708,3440.833,3764.863,3015.358
56,4348.450,4048.632,4178.755,3447.130,3744.100,3012.041
57,4356.733,4067.162,4172.755,3441.229,3772.637,3006.784
58,4354.050,4034.323,4176.562,3446.469,3755.738,3012.351
59,4341.267,4049.015,4176.255,3449.193,3762.725,3018.182
60,4336.767,4061.088,4168.547,3451.526,3753.075,3017.277
61,4364.500,4052.618,4173.240,3443.276,3746.212,3007.500
62,4343.667,4055.044,4179.734,3444.406,3777.637,3014.899
63,4377.800,4050.294,4180.516,3451.781,3749.600,3007.953
64,4344.450,4064.250,4196.604,3448.833,3749.450,3021.243
65,4353.733,4043.985,4177.365,3460.292,3743.837,3022.284
66,4353.650,4064.750,4194.526,3440.969,3758.575,3013.351
67,4363.450,4039.235,4187.948,3451.370,3763.688,3008.406
68,4365.900,4066.588,4187.760,3440.078,3750.238,3015.594
69,4352.933,4060.868,4183.037,3445.453,3740.012,3014.824
70,4359.933,4054.735,4176.797,3453.609,3755.400,3013.797
71,4381.700,4034.132,4175.177,3446.964,3752.150,3017.574
72,4358.533,4050.382,4188.167,3442.927,3750.800,3022.453
73,4358.283,4059.265,4185.026,3457.135,3754.488,3016.351
74,4357.050,4050.618,4189.365,3443.474,3747.863,3003.432
75,4350.817,4047.868,4178.995,3452.667,3759.938,3007.642
76,4350.750,4042.662,4173.463,3448.818,3753.325,3007.439
77,4359.233,4059.279,4177.990,3446.604,3753.262,3003.973
78,4360.967,4062.103,4184.297,3445.661,3752.250,3017.709
79,4339.767,4059.559,4183.213,3442.370,3751.012,3015.406
80,4362.617,4049.103,4180.750,3443.484,3743.075,3012.784
81,4352.683,4040.588,4172.641,3451.448,3748.400,3008.858
82,4347.617,4053.809,4175.990,3454.411,3755.375,3023.365
83,4360.950,4037.088,4197.042,3447.953,3773.150,3009.993
84,4363.300,4061.177,4179.750,3443.536,3748.387,3020.622
85,4356.717,4059.250,4195.578,3439.615,3747.363,3012.351
86,4364.117,4048.427,4178.188,3450.708,3742.425,3023.899
87,4345.017,4047.897,4184.203,3429.870,3748.413,3019.811
88,4350.000,4057.529,4182.521,3449.859,3753.925,3013.804
89,4382.233,4055.632,4188.766,3437.536,3735.788,3015.250
90,4360.050,4069.177,4182.766,3453.745,3752.488,3010.203
91,4347.450,4069.794,4185.047,3441.474,3753.300,3012.297
92,4349.717,4049.882,4188.151,3448.661,3758.875,3009.378
93,4351.317,4049.706,4177.412,3449.797,3736.600,3012.277
