 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
1,3773.970,3103.423,3435.081,3115.444,3093.659,3936.000,4269.714,3992.500,3986.726,4034.190
2,3790.093,3082.461,3464.216,3111.000,3091.727,3919.742,4277.571,3988.354,3967.784,4034.548
3,3793.937,3080.846,3456.324,3111.958,3093.250,3906.000,4254.321,3998.167,3975.274,4042.238
4,3772.174,3097.077,3418.243,3123.972,3106.932,3939.645,4247.464,3998.750,3962.588,4042.762
5,3785.453,3116.577,3470.784,3120.889,3097.250,3952.839,4284.250,3981.875,3973.078,4052.072
6,3786.009,3104.385,3438.513,3116.472,3095.295,3933.548,4252.607,4007.562,3990.137,4041.333
7,3786.602,3104.500,3443.216,3114.778,3102.659,3903.419,4257.179,4015.562,3972.059,4033.286
8,3794.712,3108.308,3453.730,3122.472,3099.705,3908.419,4281.929,3984.500,3967.078,4050.786
9,3791.343,3113.039,3468.594,3110.639,3096.636,3946.323,4253.714,3974.979,3982.569,4037.405
10,3786.174,3090.154,3438.459,3121.972,3088.318,3913.355,4218.286,3997.333,3972.020,4044.286
11,3784.106,3106.192,3448.487,3123.514,3133.114,3946.419,4251.143,4013.979,3963.765,4025.500
12,3804.191,3074.000,3463.270,3122.403,3090.773,3922.129,4281.071,3988.146,3975.373,4032.833
13,3789.225,3128.000,3447.406,3114.194,3102.136,3926.645,4221.107,3989.958,3972.922,4046.738
14,3781.288,3101.385,3453.432,3115.569,3100.295,3917.677,4258.643,4025.354,3960.392,4037.214
15,3786.648,3101.577,3447.946,3099.903,3095.773,3918.839,4248.714,3999.042,3968.902,4000.143
16,3785.360,3101.539,3436.351,3103.750,3089.068,3917.968,4249.786,4001.229,3968.059,4030.619
17,3788.081,3099.385,3420.081,3106.972,3103.364,3931.742,4241.536,4008.417,3976.902,4010.143
18,3785.996,3085.577,3435.892,3104.833,3103.182,3903.323,4267.036,4000.146,3973.216,4010.333
19,3786.322,3110.885,3446.865,3113.778,3095.818,3939.355,4265.679,3996.688,3965.843,4047.643
20,3779.831,3113.923,3440.108,3113.250,3105.977,3906.710,4252.250,3998.625,3969.588,4030.738
21,3783.530,3087.385,3445.162,3106.236,3085.659,3938.323,4245.500,4017.438,3980.137,4034.857
22,3792.635,3094.269,3433.459,3116.264,3088.023,3908.387,4259.357,3997.708,3975.922,4023.548
23,3784.585,3111.692,3426.730,3121.972,3120.159,3900.226,4264.679,4002.229,3972.392,4036.762
24,3794.470,3090.423,3457.946,3108.417,3091.045,3920.968,4255.536,4008.375,3984.902,4017.500
25,3789.559,3106.500,3446.027,3113.306,3095.182,3933.226,4222.643,3996.146,3965.451,4036.690
26,3773.979,3113.308,3446.216,3112.069,3093.977,3927.387,4255.464,4010.021,3981.000,4021.190
27,3783.644,3093.385,3425.865,3121.694,3095.955,3926.452,4266.464,4017.167,3987.686,4038.167
28,3779.551,3099.808,3431.000,3110.681,3109.091,3934.484,4242.964,3988.229,3978.529,4025.786
29,3780.619,3082.269,3434.919,3113.819,3122.523,3944.677,4259.857,3996.625,3981.549,4042.714
30,3790.860,3086.423,3441.189,3103.028,3110.068,3959.806,4247.036,4020.896,3962.686,4020.286
31,3780.865,3081.961,3443.892,3106.792,3090.295,3951.355,4251.143,4003.667,3957.196,4014.167
32,3786.678,3093.885,3433.784,3112.278,3112.545,3943.097,4278.143,4007.646,3990.333,4026.262
33,3773.106,3092.423,3426.162,3122.486,3104.273,3920.645,4246.250,3995.854,3973.039,4023.238
34,3781.013,3063.539,3434.919,3116.347,3110.614,3915.936,4253.536,4013.938,3974.000,4020.810
35,3781.500,3090.346,3448.216,3118.556,3109.159,3952.806,4256.214,4008.229,3971.804,4030.357
36,3775.831,3100.769,3447.297,3114.250,3109.205,3939.355,4252.321,4007.708,3947.039,4014.738
37,3787.135,3073.269,3419.676,3122.444,3105.318,3953.677,4271.821,4014.583,3975.804,4036.833
38,3778.958,3069.192,3450.081,3125.958,3091.705,3944.710,4252.179,4044.750,3945.510,4025.619
39,3773.682,3076.154,3431.270,3126.194,3099.045,3904.161,4247.214,4006.562,3984.373,4032.667
40,3778.419,3071.192,3414.378,3118.111,3106.318,3911.194,4276.107,4013.833,3973.000,4028.786
41,3772.106,3060.615,3414.649,3128.917,3112.909,3932.968,4274.750,4019.333,3972.549,4017.452
42,3774.759,3068.269,3430.811,3125.958,3112.114,3942.226,4269.071,4015.729,3958.980,4036.690
43,3785.797,3048.923,3438.459,3119.847,3111.114,3940.355,4259.036,4011.771,3976.510,4015.024
44,3781.530,3078.692,3410.459,3113.708,3102.727,3898.484,4247.821,4031.375,3992.980,4012.786
45,3786.241,3068.423,3442.568,3120.764,3124.909,3949.323,4267.464,4004.875,3970.529,4043.524
46,3782.826,3084.769,3448.162,3106.139,3104.136,3926.161,4252.429,4024.750,3980.980,4017.524
47,3775.581,3083.346,3424.324,3117.264,3098.818,3932.903,4246.536,4000.812,3981.784,4012.905
48,3789.000,3076.385,3444.973,3113.792,3106.932,3915.000,4260.107,3995.208,3976.118,4037.452
49,3783.915,3071.269,3446.135,3122.569,3106.591,3920.452,4272.893,4007.354,3971.431,4039.524
50,3791.915,3097.500,3446.838,3127.167,3097.591,3916.419,4254.929,4004.708,3979.726,4016.024
51,3784.530,3082.615,3454.784,3121.611,3113.091,3943.290,4251.179,4015.375,3968.471,4029.928
52,3787.267,3056.846,3444.270,3107.125,3094.273,3934.936,4237.393,4017.854,3963.980,4035.524
53,3792.335,3086.154,3430.649,3106.250,3096.682,3928.903,4257.179,4019.500,3987.961,4018.738
54,3778.708,3098.115,3439.703,3125.611,3088.818,3928.645,4258.679,3995.854,3962.510,4018.667
55,3788.991,3075.654,3441.811,3114.792,3104.727,3944.516,4233.464,4017.167,3989.726,4043.595
56,3781.563,3094.500,3440.594,3119.681,3113.227,3913.806,4258.286,4020.250,3952.529,4036.119
57,3788.890,3094.500,3472.081,3122.750,3093.795,3930.484,4250.143,4007.354,3957.980,4032.857
58,3790.644,3078.885,3454.622,3109.931,3111.159,3931.194,4241.214,4006.500,3981.961,4019.905
59,3775.801,3091.885,3449.270,3120.333,3088.136,3920.290,4241.286,4003.500,3991.078,4024.262
60,3786.979,3105.039,3449.351,3123.667,3109.250,3927.516,4277.929,4009.292,3978.765,4010.881
61,3782.059,3081.808,3441.676,3118.333,3105.727,3917.839,4254.857,4035.375,3976.471,4038.619
62,3791.576,3067.692,3433.649,3128.236,3096.227,3904.387,4270.464,4006.021,3983.216,4026.643
63,3793.419,3098.769,3454.054,3122.750,3115.409,3934.032,4271.179,4015.000,3988.902,4036.786
64,3784.339,3080.423,3454.216,3121.375,3104.773,3931.710,4271.357,4014.958,3963.490,4021.667
65,3787.585,3084.423,3452.432,3138.153,3105.341,3933.323,4246.571,3999.021,3987.020,4010.476
66,3780.284,3103.039,3446.189,3121.931,3130.795,3938.387,4253.571,3994.521,3973.784,4032.928
67,3792.123,3075.500,3467.108,3130.847,3102.591,3957.419,4278.071,4004.167,3972.274,4019.857
68,3787.000,3088.961,3440.946,3119.097,3114.364,3933.290,4253.536,4003.750,3973.490,4020.357
69,3785.250,3091.039,3453.000,3128.931,3097.182,3918.742,4264.214,4013.312,3991.118,4050.238
70,3791.687,3096.077,3420.189,3108.319,3099.205,3939.097,4260.214,3984.917,3969.588,4007.595
71,3786.013,3083.269,3444.108,3125.625,3107.386,3943.097,4265.250,4013.833,3982.471,4031.762
72,3782.453,3081.885,3448.081,3111.792,3101.750,3945.903,4273.357,4000.833,3995.137,4028.167
73,3788.682,3067.269,3444.811,3109.167,3117.955,3926.452,4276.536,3998.771,3979.353,4052.095
