 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9
1,4523.607,4032.100,3276.750,3063.750,2939.419,3215.438,2963.281,4312.312,4254.643
2,4506.714,4039.171,3227.125,3073.083,2970.452,3217.938,2948.438,4328.125,4258.500
3,4500.107,4047.186,3210.375,3058.083,2951.226,3245.375,2939.938,4325.438,4249.548
4,4498.179,4039.557,3238.250,3064.083,2960.742,3246.625,2953.438,4319.156,4255.214
5,4510.679,4045.729,3272.000,3084.250,2978.936,3198.062,2962.625,4298.156,4262.667
6,4523.393,4044.671,3262.125,3052.000,2948.677,3208.750,2943.625,4311.062,4255.833
7,4542.143,4036.114,3241.250,3052.250,2976.613,3244.188,2965.594,4326.344,4243.310
8,4517.964,4046.771,3250.375,3115.583,2961.032,3240.375,2958.312,4335.781,4240.524
9,4527.286,4039.700,3299.750,3071.000,2955.645,3212.062,2940.781,4289.562,4265.190
10,4523.321,4033.414,3268.250,3085.333,2945.323,3228.000,2949.594,4315.438,4224.690
11,4512.964,4022.014,3305.000,3071.583,2961.645,3208.500,2951.781,4325.031,4221.833
12,4517.857,4047.943,3323.125,3058.000,2960.258,3202.875,2961.406,4306.156,4254.905
13,4521.536,4026.543,3312.625,3058.750,2958.452,3236.375,2949.812,4316.688,4245.786
14,4531.786,4036.486,3284.500,3059.083,2962.806,3221.375,2947.156,4290.406,4249.190
15,4508.607,4037.072,3264.750,3085.833,2951.129,3238.375,2953.438,4305.531,4265.738
16,4529.786,4065.000,3296.875,3071.500,2961.194,3211.875,2950.312,4340.000,4254.833
17,4506.143,4035.057,3293.250,3057.583,2954.323,3237.938,2961.844,4338.594,4231.143
18,4497.821,4052.714,3288.875,3096.917,2959.161,3207.625,2938.219,4311.750,4230.262
19,4520.607,4036.428,3304.625,3068.167,2957.419,3224.250,2938.656,4342.719,4244.976
20,4495.464,4029.314,3304.750,3081.833,2945.000,3217.688,2959.500,4323.156,4247.238
21,4513.821,4030.243,3244.000,3081.333,2945.806,3217.562,2946.312,4301.281,4255.905
22,4526.786,4025.100,3286.625,3066.750,2939.000,3229.062,2961.062,4347.656,4239.738
23,4496.107,4023.800,3280.125,3094.750,2949.548,3204.938,2974.625,4349.469,4229.595
24,4521.036,4049.671,3286.875,3089.750,2959.064,3222.500,2954.531,4333.156,4253.810
25,4489.036,4025.729,3248.250,3079.083,2949.645,3233.000,2947.031,4319.781,4231.429
26,4481.643,4040.800,3316.375,3071.833,2961.645,3251.438,2960.312,4325.250,4229.643
27,4531.679,4044.857,3251.375,3074.333,2944.323,3223.500,2956.938,4317.875,4231.095
28,4489.464,4035.057,3286.625,3038.917,2954.581,3225.312,2941.281,4319.094,4228.262
29,4515.786,4029.371,3312.250,3079.083,2941.419,3215.812,2939.250,4275.531,4262.238
30,4509.929,4030.371,3273.125,3051.583,2939.710,3202.750,2948.500,4308.812,4224.452
31,4507.821,4029.900,3311.875,3095.250,2955.645,3226.062,2927.812,4318.562,4252.881
32,4546.393,4041.786,3279.750,3081.167,2974.871,3200.812,2959.281,4309.969,4273.595
33,4504.964,4031.928,3303.875,3076.167,2970.710,3229.812,2958.188,4293.781,4249.595
34,4496.071,4060.543,3282.125,3073.167,2967.645,3211.750,2950.844,4302.250,4242.048
35,4520.357,4054.243,3302.500,3091.167,2949.097,3217.500,2960.125,4334.188,4224.190
36,4515.500,4051.157,3253.750,3061.917,2951.258,3221.500,2950.688,4299.906,4244.476
37,4510.250,4049.629,3286.375,3076.667,2978.839,3204.250,2981.375,4306.344,4248.119
38,4504.857,4045.186,3288.125,3049.333,2957.323,3227.125,2955.969,4304.062,4249.500
39,4509.500,4056.829,3311.500,3104.500,2943.097,3214.812,2953.594,4293.969,4252.405
40,4523.250,4017.643,3285.500,3073.917,2957.097,3220.750,2959.688,4329.906,4251.929
41,4508.179,4036.943,3248.250,3093.000,2950.903,3233.812,2956.500,4323.656,4263.024
42,4490.429,4029.371,3312.750,3051.333,2968.484,3195.312,2938.312,4317.344,4258.548
43,4496.250,4034.786,3271.625,3047.083,2944.806,3207.375,2944.531,4312.844,4219.952
44,4524.750,4023.671,3234.250,3090.667,2947.548,3201.188,2952.531,4320.500,4221.524
45,4512.679,4033.443,3277.875,3061.250,2941.064,3199.938,2968.469,4314.156,4236.357
46,4492.643,4040.671,3251.250,3064.083,2953.516,3204.438,2963.562,4330.906,4251.381
47,4527.286,4038.557,3311.000,3085.917,2956.710,3215.312,2945.594,4310.375,4239.167
48,4516.607,4031.171,3292.125,3097.333,2954.452,3196.750,2943.188,4318.031,4220.857
49,4525.214,4014.129,3237.500,3092.417,2964.968,3244.250,2960.750,4323.344,4232.262
50,4506.357,4019.114,3263.875,3039.500,2942.548,3215.250,2945.094,4296.656,4232.190
51,4507.250,4034.957,3256.125,3068.833,2955.484,3213.812,2935.656,4324.750,4224.429
52,4500.321,4041.986,3250.000,3071.250,2953.645,3221.688,2970.094,4342.562,4249.238
53,4486.643,4027.843,3270.250,3029.250,2942.710,3186.875,2950.062,4297.625,4254.524
54,4504.464,4021.457,3232.875,3060.750,2954.613,3212.375,2946.062,4299.906,4248.381
55,4514.071,4018.243,3294.875,3042.917,2948.452,3213.625,2945.781,4313.219,4239.143
56,4507.036,4039.671,3228.125,3100.917,2953.452,3209.938,2951.969,4312.875,4225.310
57,4502.750,4047.986,3286.625,3061.750,2956.742,3219.750,2953.500,4329.500,4228.905
58,4508.679,4028.543,3253.500,3089.333,2949.839,3202.875,2943.281,4329.219,4242.810
59,4486.000,4043.700,3260.250,3062.250,2944.387,3217.688,2937.344,4294.969,4234.905
60,4492.821,4035.829,3285.750,3072.083,2955.903,3203.062,2958.312,4300.312,4241.690
61,4499.214,4048.200,3317.500,3091.167,2937.903,3171.000,2939.188,4314.688,4233.000
62,4474.536,4019.714,3313.375,3060.083,2940.355,3213.688,2962.938,4294.781,4235.667
63,4471.964,4037.286,3187.750,3092.583,2933.194,3220.375,2960.219,4308.656,4236.786
64,4514.143,4048.886,3281.625,3074.333,2934.774,3247.312,2940.594,4300.188,4237.262
65,4484.714,4047.829,3301.250,3080.667,2998.129,3226.000,2960.938,4304.156,4236.667
66,4530.500,4061.514,3295.750,3138.333,3007.774,3234.000,3004.969,4303.281,4241.857
67,4507.536,4046.572,3317.250,3129.333,3024.645,3223.750,2973.844,4329.750,4226.286
68,4495.571,4048.714,3269.625,3107.500,3028.032,3243.938,3003.094,4281.500,4234.119
69,4522.857,4033.229,3307.250,3103.750,3027.677,3220.125,2990.031,4330.125,4257.643
70,4489.571,4055.343,3333.000,3151.333,3026.129,3241.562,2998.219,4317.562,4223.952
71,4505.500,4046.928,3321.250,3135.333,3019.484,3273.875,3001.719,4306.062,4241.714
72,4529.179,4046.229,3358.375,3073.083,3013.226,3232.625,3008.469,4303.406,4226.833
73,4513.607,4046.086,3318.000,3124.000,2993.677,3246.250,2988.438,4341.000,4228.714
74,4476.393,4042.900,3311.375,3125.083,3004.677,3246.938,2972.625,4304.438,4229.476
75,4501.571,4040.514,3285.750,3085.250,3023.161,3199.312,2998.344,4332.000,4239.738
76,4508.786,4031.314,3319.750,3092.083,3005.161,3225.000,2982.312,4312.531,4213.857
77,4487.750,4047.371,3265.250,3107.167,2985.742,3224.875,2981.562,4322.688,4221.024
78,4506.607,4031.943,3265.625,3110.750,2977.936,3239.875,2979.188,4299.688,4244.048
79,4523.464,4039.714,3284.875,3091.333,2974.548,3239.375,2976.531,4308.969,4224.524
80,4478.750,4023.243,3328.125,3085.667,2988.419,3210.000,2980.156,4291.219,4235.048
81,4489.393,4026.271,3279.250,3118.833,2972.581,3209.500,2970.406,4292.375,4214.905
82,4497.357,4040.329,3312.875,3082.250,2972.000,3216.250,2960.688,4293.531,4231.214
83,4495.893,4040.957,3265.625,3094.833,2987.710,3200.062,2971.719,4288.188,4243.095
84,4490.821,4036.286,3294.000,3076.500,2979.936,3227.000,2964.969,4318.125,4214.167
