 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11
1,4190.929,4089.933,4215.800,4993.962,4474.606,4366.909,5001.667,3707.324,3469.375,3081.188,3494.947
2,4192.043,4091.307,4209.433,5007.025,4473.672,4361.636,5015.083,3683.622,3469.875,3078.750,3499.053
3,4183.943,4108.787,4242.583,5027.788,4466.967,4313.545,5015.333,3715.784,3479.562,3101.156,3494.973
4,4204.529,4109.960,4217.267,5029.950,4465.229,4356.273,4965.667,3692.622,3438.312,3065.469,3494.773
5,4202.171,4087.160,4220.667,5011.188,4456.131,4333.455,4984.583,3694.838,3475.000,3077.344,3501.787
6,4207.614,4092.040,4200.017,4999.513,4458.541,4385.000,5011.417,3710.594,3471.250,3071.875,3494.827
7,4189.372,4107.400,4205.683,4975.987,4470.951,4348.091,5043.333,3704.973,3472.188,3077.719,3500.587
8,4198.514,4080.333,4206.167,4981.538,4466.492,4371.818,4981.417,3696.594,3480.938,3070.469,3498.840
9,4194.100,4096.320,4207.467,5005.650,4448.164,4360.000,4993.750,3715.784,3471.812,3077.844,3498.187
10,4187.686,4098.093,4209.350,5037.350,4466.672,4357.545,5020.167,3697.784,3452.625,3079.312,3492.760
11,4186.786,4083.467,4219.467,5037.013,4462.262,4386.545,4955.417,3710.838,3466.375,3081.625,3508.627
12,4198.471,4082.187,4213.400,5027.400,4463.229,4352.455,5076.250,3686.568,3443.438,3081.188,3509.173
13,4195.529,4091.693,4215.767,5018.350,4466.639,4355.273,4996.167,3665.865,3455.688,3081.844,3483.280
14,4205.314,4079.907,4213.300,5049.538,4465.492,4363.818,4972.833,3710.838,3514.000,3082.781,3505.587
15,4200.600,4096.453,4224.517,5021.562,4480.229,4379.727,4985.583,3706.459,3458.125,3078.594,3500.653
16,4182.171,4094.413,4216.817,4981.663,4461.344,4354.909,4951.750,3679.081,3459.062,3078.781,3496.973
17,4204.671,4096.146,4198.183,5044.737,4481.131,4314.636,5017.333,3699.135,3416.562,3092.688,3501.920
18,4168.357,4072.507,4215.533,5077.225,4470.967,4382.909,5007.583,3695.108,3475.688,3088.594,3498.133
19,4199.471,4092.773,4219.850,5107.038,4460.836,4337.727,5001.333,3710.108,3466.125,3058.312,3493.293
20,4218.271,4096.374,4228.367,5160.225,4464.312,4354.545,4999.333,3694.811,3481.438,3094.656,3515.480
21,4192.243,4104.680,4218.400,5168.962,4440.705,4365.364,4959.417,3702.594,3478.625,3084.062,3498.333
22,4194.300,4108.907,4214.633,5192.750,4450.344,4373.636,5058.917,3694.568,3459.938,3074.500,3509.853
23,4201.600,4110.187,4227.417,5236.962,4487.902,4356.000,4995.667,3682.378,3439.812,3080.906,3499.200
24,4201.114,4091.053,4203.683,5239.150,4470.869,4355.091,5048.500,3670.676,3445.250,3097.094,3514.373
25,4196.086,4118.227,4229.667,5242.337,4471.328,4373.364,4994.417,3692.108,3469.500,3093.125,3504.427
26,4194.443,4082.733,4202.650,5204.600,4481.918,4365.273,5006.000,3691.081,3479.062,3075.094,3504.973
27,4193.457,4090.387,4203.683,5196.538,4457.295,4369.273,4984.583,3711.216,3449.562,3062.188,3499.480
28,4188.929,4106.480,4216.117,5189.300,4462.197,4327.000,5013.000,3703.108,3504.312,3056.438,3511.227
29,4191.857,4110.867,4218.517,5148.775,4459.869,4375.727,5005.000,3686.892,3463.812,3081.094,3493.893
30,4185.914,4092.093,4221.217,5121.538,4455.426,4327.091,5013.667,3697.378,3470.938,3066.406,3508.093
31,4193.257,4099.933,4206.900,5113.725,4466.295,4372.273,4987.167,3694.243,3449.562,3057.594,3495.173
32,4191.200,4084.293,4217.750,5108.675,4465.935,4341.364,4981.250,3713.054,3496.750,3072.000,3506.160
33,4220.586,4099.493,4204.433,5169.038,4439.639,4362.727,4987.333,3698.162,3456.750,3084.094,3510.293
34,4193.700,4086.293,4218.567,5163.625,4463.803,4377.909,4975.917,3693.162,3457.688,3039.625,3511.027
35,4184.286,4082.680,4202.850,5153.938,4455.476,4350.455,5020.083,3699.919,3502.688,3074.125,3506.680
36,4197.714,4093.560,4221.350,5151.237,4472.492,4350.818,4974.583,3725.081,3479.000,3056.375,3504.800
37,4186.386,4091.027,4211.700,5198.788,4471.033,4379.636,4990.083,3715.324,3466.500,3049.406,3516.680
38,4196.143,4095.587,4217.300,5201.400,4457.721,4367.364,4987.500,3717.162,3468.375,3065.094,3507.800
39,4209.043,4089.720,4209.850,5202.400,4471.262,4361.727,4994.167,3694.108,3454.438,3071.406,3516.307
40,4188.329,4099.067,4189.567,5255.962,4478.197,4345.727,4983.500,3699.487,3508.500,3064.719,3517.573
41,4194.657,4080.067,4219.050,5264.250,4475.328,4342.545,5051.583,3695.487,3448.812,3066.125,3501.933
42,4213.014,4083.907,4208.050,5271.325,4443.065,4344.091,5003.833,3712.189,3491.562,3057.125,3519.920
43,4193.571,4095.280,4212.000,5276.438,4474.476,4346.273,4973.500,3688.487,3495.125,3072.312,3510.093
44,4197.043,4090.800,4212.767,5236.975,4442.606,4384.636,5046.917,3717.541,3491.625,3047.406,3520.733
45,4197.343,4086.600,4205.867,5245.612,4483.017,4301.636,4962.500,3699.757,3481.625,3087.156,3527.227
46,4186.743,4089.827,4214.917,5299.750,4456.426,4406.909,4964.500,3704.838,3483.750,3048.375,3518.027
47,4210.957,4099.840,4222.317,5319.288,4465.476,4351.727,4999.583,3710.432,3473.625,3047.156,3511.227
48,4184.257,4086.040,4206.217,5283.150,4470.017,4322.091,5001.500,3678.108,3490.750,3080.031,3520.387
49,4221.628,4098.120,4238.100,5277.737,4455.426,4367.091,4920.000,3696.865,3479.562,3081.125,3505.787
50,4204.343,4086.253,4226.300,5239.400,4453.065,4338.818,5004.083,3703.406,3464.438,3049.094,3497.027
51,4196.657,4086.027,4223.850,5236.837,4456.574,4296.273,5028.583,3691.568,3486.875,3058.219,3517.787
52,4186.229,4096.867,4212.550,5195.212,4473.836,4335.636,4997.083,3695.135,3470.562,3057.062,3498.293
53,4208.543,4079.133,4204.833,5193.250,4459.476,4382.182,5011.250,3724.757,3483.375,3074.250,3495.293
54,4191.500,4081.707,4223.600,5148.500,4458.410,4363.455,5015.417,3721.054,3481.562,3051.969,3507.347
55,4220.843,4090.293,4204.750,5146.188,4470.098,4348.273,5011.917,3706.594,3435.375,3036.062,3496.787
56,4201.571,4086.813,4202.500,5165.150,4448.508,4350.909,5007.667,3707.919,3492.500,3062.062,3510.640
57,4191.614,4087.787,4211.400,5217.250,4454.033,4368.182,4993.750,3697.757,3496.500,3078.969,3524.840
58,4217.300,4120.987,4208.667,5219.087,4455.524,4379.364,4997.833,3703.838,3490.438,3055.094,3514.547
59,4199.957,4104.493,4222.483,5197.612,4477.180,4376.273,4995.250,3681.081,3494.375,3057.594,3502.387
60,4191.757,4092.973,4219.833,5191.788,4460.885,4367.273,4999.250,3700.892,3439.188,3069.906,3500.347
61,4179.486,4097.400,4204.900,5239.337,4481.787,4364.727,4984.333,3703.351,3480.000,3060.156,3501.707
62,4190.800,4086.267,4228.700,5256.025,4453.541,4357.909,4997.417,3718.865,3493.875,3036.844,3500.853
63,4196.000,4085.760,4213.017,5271.788,4460.672,4368.000,4954.083,3683.432,3476.250,3057.969,3521.373
64,4182.471,4098.720,4210.133,5252.987,4472.754,4359.636,4994.667,3703.297,3435.875,3056.469,3507.560
65,4195.486,4094.747,4213.950,5219.062,4475.115,4403.455,5018.917,3700.351,3462.500,3054.688,3503.000
66,4195.929,4106.280,4215.017,5203.987,4455.983,4392.273,5040.000,3712.838,3483.062,3074.781,3499.733
67,4198.586,4088.387,4208.833,5200.550,4486.836,4354.455,4975.750,3713.189,3482.188,3059.906,3510.027
68,4210.643,4083.667,4231.700,5172.138,4479.623,4362.545,4959.250,3715.703,3469.312,3057.562,3496.613
69,4198.771,4091.160,4215.667,5163.038,4489.229,4365.636,5047.750,3720.108,3477.000,3085.625,3496.147
70,4207.386,4092.760,4222.800,5212.737,4466.803,4393.455,5011.250,3705.865,3467.562,3057.938,3505.493
71,4203.029,4092.347,4201.400,5223.362,4468.623,4370.273,4981.917,3724.622,3452.188,3057.562,3532.533
72,4203.400,4106.293,4215.583,5226.550,4463.853,4308.091,5020.667,3714.541,3500.375,3033.406,3510.173
73,4204.800,4102.520,4210.250,5205.025,4475.721,4348.000,4999.667,3709.027,3446.750,3052.188,3501.120
74,4203.029,4090.067,4194.450,5184.450,4460.902,4328.000,5027.167,3704.378,3453.812,3044.344,3499.027
75,4196.486,4094.587,4208.417,5158.650,4485.197,4378.273,4983.167,3718.054,3451.500,3056.844,3499.653
76,4196.857,4081.307,4227.117,5161.150,4476.787,4389.727,5028.167,3690.081,3505.188,3056.531,3518.733
77,4211.657,4106.707,4233.933,5120.763,4463.295,4377.091,4957.417,3712.946,3473.312,3035.875,3488.747
78,4209.729,4098.067,4217.400,5127.138,4454.885,4381.909,5071.583,3713.892,3480.125,3059.344,3506.213
79,4196.857,4102.213,4204.600,5144.763,4467.918,4360.455,4963.333,3721.703,3491.875,3049.312,3503.040
80,4218.157,4101.173,4221.150,5194.513,4493.180,4371.545,5020.000,3697.297,3459.625,3064.344,3513.520
81,4206.757,4091.067,4203.217,5181.400,4448.229,4370.818,5001.167,3711.216,3474.562,3081.469,3498.627
82,4192.872,4080.307,4199.700,5220.638,4468.361,4372.727,4971.000,3705.378,3482.688,3058.625,3510.187
83,4201.343,4080.987,4219.717,5265.888,4469.377,4361.273,4954.250,3718.081,3464.938,3065.688,3505.760
84,4192.171,4103.533,4219.400,5278.587,4469.229,4396.273,5047.500,3707.919,3467.125,3070.406,3496.107
85,4202.686,4089.600,4224.683,5273.025,4480.180,4393.818,5006.667,3720.459,3477.125,3081.469,3516.907
86,4211.100,4086.827,4210.533,5257.587,4481.574,4358.273,5018.500,3704.000,3487.000,3064.969,3493.467
87,4199.357,4102.960,4227.100,5222.575,4480.721,4333.636,5003.083,3710.487,3483.375,3065.250,3493.520
88,4179.029,4097.320,4226.367,5222.025,4455.771,4306.636,5023.250,3702.568,3461.812,3059.750,3507.440
89,4214.200,4087.013,4239.433,5212.625,4469.476,4374.091,5018.167,3727.189,3492.188,3060.031,3498.787
90,4211.157,4107.600,4222.133,5224.000,4468.738,4356.818,4980.750,3708.054,3460.188,3057.969,3525.347
91,4195.872,4090.013,4211.767,5242.938,4464.541,4359.727,5013.833,3718.216,3458.188,3059.188,3497.133
92,4194.957,4099.707,4206.283,5258.950,4481.197,4383.091,5017.417,3723.324,3497.500,3064.250,3517.413
93,4226.200,4096.693,4205.100,5243.112,4446.705,4389.091,4971.250,3703.676,3489.812,3057.781,3497.053
94,4214.386,4108.680,4203.000,5224.288,4471.967,4383.091,5044.333,3717.135,3468.312,3062.969,3520.413
95,4203.971,4113.480,4210.783,5197.987,4486.098,4357.273,5021.417,3702.378,3471.500,3066.844,3502.867
96,4198.900,4089.293,4226.033,5180.600,4480.033,4411.364,5000.750,3704.378,3467.375,3062.562,3498.973
97,4198.057,4097.533,4227.650,5234.112,4467.229,4337.636,4994.250,3691.946,3505.875,3056.344,3517.360
98,4224.829,4094.413,4208.483,5236.575,4484.131,4326.545,5017.000,3716.324,3458.812,3061.594,3504.320
99,4220.286,4105.400,4236.950,5259.188,4474.885,4391.909,5011.333,3702.784,3486.250,3045.938,3509.480
100,4206.443,4099.227,4229.617,5244.900,4477.180,4339.545,4994.083,3697.487,3502.438,3061.938,3509.053
101,4199.443,4110.374,4206.667,5242.413,4493.213,4348.364,5035.750,3699.541,3476.812,3064.062,3510.093
102,4204.886,4090.013,4237.567,5219.650,4489.098,4346.000,5016.750,3702.865,3471.000,3052.969,3504.027
103,4214.457,4084.827,4209.117,5188.200,4464.098,4374.818,5078.583,3710.027,3467.188,3075.469,3518.240
104,4216.900,4113.813,4204.650,5165.925,4474.410,4405.545,5013.583,3694.027,3485.188,3065.969,3513.147
105,4215.614,4101.573,4217.583,5154.188,4469.180,4354.364,4997.500,3726.594,3462.000,3047.031,3505.733
106,4209.671,4106.800,4199.333,5110.013,4453.361,4325.000,5015.333,3716.892,3506.812,3064.938,3516.307
107,4202.000,4099.973,4229.550,5126.650,4464.279,4388.182,4998.167,3718.541,3483.250,3068.406,3514.920
108,4220.029,4114.560,4222.117,5138.350,4467.476,4408.636,5005.833,3699.622,3463.625,3093.594,3488.840
109,4225.586,4130.613,4228.683,5162.288,4461.524,4400.545,5031.833,3726.973,3447.000,4248.062,3514.413
110,4378.671,4228.547,4239.700,5166.388,4494.787,4367.818,4999.417,3799.459,3573.000,5495.344,3566.400
111,4551.000,4398.933,4248.800,5172.275,4540.820,4415.364,5050.583,3995.189,3784.125,6357.969,3717.387
