 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11
1,3689.135,4935.750,4457.938,4225.081,3261.750,3780.069,4504.750,4253.625,3184.654,3416.900,4264.364
2,3690.838,4950.000,4438.312,4224.676,3273.550,3785.810,4454.917,4216.000,3197.577,3448.100,4227.818
3,3709.324,4941.036,4442.938,4239.162,3290.250,3826.724,4478.750,4209.500,3189.923,3430.600,4235.909
4,3695.703,4924.821,4404.000,4237.352,3276.300,3796.724,4469.750,4190.500,3148.769,3408.600,4229.364
5,3686.622,4923.679,4482.312,4206.973,3274.800,3794.190,4451.583,4277.875,3169.808,3438.800,4197.909
6,3706.622,4948.107,4454.625,4231.352,3284.550,3803.741,4437.917,4225.750,3175.500,3465.900,4186.727
7,3695.568,4956.357,4425.438,4213.567,3280.850,3794.241,4462.250,4192.375,3176.115,3414.100,4222.091
8,3703.027,4931.571,4462.062,4221.027,3259.900,3784.896,4508.833,4213.625,3177.461,3404.500,4193.364
9,3710.000,4927.500,4449.438,4233.865,3268.550,3794.414,4473.083,4289.250,3159.269,3437.900,4215.091
10,3687.892,4941.107,4451.125,4233.865,3275.700,3796.293,4469.000,4274.000,3166.231,3412.400,4178.000
11,3702.216,4916.214,4446.750,4206.433,3281.100,3784.741,4472.167,4222.000,3176.577,3429.800,4236.000
12,3687.243,4959.357,4458.625,4210.243,3256.550,3809.224,4457.167,4250.250,3172.808,3416.000,4214.182
13,3672.892,4940.750,4457.562,4213.892,3254.450,3797.931,4447.167,4242.500,3153.539,3416.200,4222.545
14,3725.784,4919.214,4437.562,4211.784,3291.700,3785.414,4453.750,4253.625,3145.000,3443.300,4243.545
15,3716.784,4930.429,4486.500,4229.216,3282.300,3789.483,4488.500,4253.750,3154.269,3425.100,4249.091
16,3698.594,4915.464,4451.812,4208.648,3284.100,3786.707,4464.750,4222.750,3181.192,3385.100,4194.636
17,3703.162,4933.536,4447.500,4236.459,3283.850,3793.241,4483.333,4270.000,3166.846,3399.600,4185.545
18,3699.406,4933.214,4479.125,4210.648,3285.500,3785.896,4486.500,4227.875,3175.846,3394.200,4179.455
19,3718.541,4939.429,4436.000,4223.757,3268.500,3803.069,4466.500,4250.625,3162.961,3413.000,4164.909
20,3705.622,4940.464,4481.500,4243.189,3256.150,3813.845,4462.000,4227.000,3165.269,3399.900,4278.636
21,3705.406,4913.179,4450.750,4218.648,3258.900,3802.879,4495.667,4258.125,3174.731,3430.500,4233.455
22,3713.892,4959.857,4446.812,4235.811,3303.850,3793.086,4467.500,4241.125,3167.731,3389.000,4225.364
23,3695.946,4918.964,4420.562,4225.757,3272.900,3795.207,4496.833,4237.125,3159.192,3464.500,4273.364
