 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16
1,4458.231,4377.917,4506.562,4402.750,3794.654,3866.688,3170.500,3140.333,4365.622,4876.807,4544.500,4852.115,2999.786,3374.545,4251.382,4010.048
2,4493.365,4367.958,4520.125,4389.333,3789.115,3902.812,3173.353,3117.000,4379.378,4866.000,4530.192,4842.344,3009.786,3369.682,4285.059,3989.333
3,4442.461,4371.625,4501.375,4324.333,3804.077,3907.125,3173.059,3063.333,4335.352,4861.903,4540.577,4831.410,3007.143,3392.023,4253.735,4032.000
4,4463.154,4376.083,4513.125,4378.083,3778.615,3867.125,3168.735,3098.000,4328.271,4859.936,4566.346,4842.033,3011.190,3357.182,4267.265,4008.000
5,4471.250,4362.542,4472.406,4329.583,3786.769,3900.250,3179.647,3161.000,4357.757,4831.774,4583.461,4820.344,2997.190,3367.205,4262.324,4016.095
6,4439.846,4391.750,4516.688,4356.750,3800.808,3892.125,3165.735,3137.667,4353.378,4819.193,4542.077,4821.721,2971.690,3376.045,4279.941,3988.476
7,4476.461,4409.958,4493.969,4364.417,3781.615,3893.250,3186.118,3120.667,4359.271,4829.452,4543.423,4855.033,2990.500,3373.295,4271.735,4021.381
8,4461.000,4390.583,4504.062,4375.667,3771.923,3912.875,3189.118,3122.667,4348.216,4780.548,4540.692,4845.967,2994.738,3354.545,4267.059,3981.572
9,4483.423,4381.875,4509.781,4354.083,3767.039,3870.875,3166.059,3058.000,4355.946,4759.968,4576.808,4845.623,2984.976,3351.045,4285.059,4000.905
10,4477.539,4406.917,4496.062,4397.667,3760.769,3904.000,3193.265,3069.333,4335.216,4777.064,4537.692,4848.279,2989.881,3359.750,4252.824,4012.714
11,4462.885,4393.083,4503.094,4342.833,3796.461,3893.438,3170.441,3079.667,4366.973,4741.129,4521.885,4847.558,2989.714,3375.000,4265.088,4013.333
12,4478.769,4391.375,4509.062,4350.750,3779.808,3906.250,3187.882,3027.667,4320.892,4740.871,4553.385,4854.803,3003.143,3365.773,4256.500,3995.333
13,4455.789,4362.125,4479.438,4344.417,3805.231,3912.062,3179.765,3159.000,4329.027,4743.839,4537.461,4826.754,2996.572,3350.341,4271.706,3988.238
14,4472.961,4360.208,4481.812,4388.083,3745.731,3918.812,3173.088,3101.000,4323.622,4732.936,4538.923,4812.983,2981.905,3356.182,4272.265,3988.095
15,4466.461,4363.667,4493.188,4402.667,3779.077,3899.875,3153.294,3134.667,4346.784,4717.742,4555.885,4823.492,2993.500,3381.568,4268.147,3975.048
16,4476.615,4350.250,4484.000,4336.250,3783.769,3901.688,3163.735,3067.667,4335.405,4718.419,4555.923,4821.902,2996.690,3369.477,4271.382,3979.810
17,4480.827,4335.208,4467.469,4357.333,3807.769,3914.375,3168.441,3048.333,4334.378,4730.129,4551.308,4836.541,2980.167,3374.386,4277.706,4008.190
18,4450.692,4366.917,4503.031,4326.250,3812.846,3892.312,3159.294,3125.333,4338.729,4726.581,4556.539,4834.426,3000.357,3359.295,4273.147,3991.667
19,4477.885,4361.708,4481.469,4383.417,3766.577,3898.500,3170.147,3060.667,4335.703,4717.548,4540.192,4834.885,2993.500,3352.205,4288.029,3998.572
20,4470.058,4376.833,4495.688,4371.167,3773.346,3897.938,3160.382,3021.667,4306.541,4698.581,4568.577,4847.639,2974.262,3359.864,4279.735,3990.714
21,4469.904,4363.375,4498.000,4437.667,3799.308,3883.000,3170.029,2950.000,4336.271,4691.193,4517.385,4855.410,2998.928,3361.818,4266.265,4006.619
22,4450.058,4385.083,4483.188,4369.417,3784.808,3879.188,3177.735,3059.000,4330.567,4689.097,4532.308,4845.213,3006.333,3350.591,4281.941,4021.667
23,4463.500,4378.625,4472.469,4365.000,3786.923,3917.375,3171.382,3137.667,4329.352,4687.903,4545.077,4837.869,2980.976,3378.977,4284.647,3977.381
24,4465.789,4369.458,4459.219,4394.667,3788.115,3888.562,3159.794,3078.000,4314.378,4666.581,4541.231,4844.065,3008.214,3356.977,4282.676,4022.238
25,4472.404,4357.333,4466.531,4315.167,3770.885,3887.125,3171.794,3036.000,4336.271,4680.903,4574.039,4822.049,2996.095,3354.864,4256.941,3979.238
26,4473.904,4380.333,4481.625,4369.083,3807.115,3897.250,3174.412,3072.000,4324.486,4672.774,4582.115,4831.377,2999.762,3354.182,4245.500,3994.667
27,4487.654,4358.667,4502.312,4386.833,3791.154,3922.500,3181.441,3100.667,4326.433,4666.677,4540.577,4833.049,2981.833,3356.205,4291.559,3972.667
28,4442.308,4382.083,4482.188,4359.667,3762.769,3884.875,3171.118,3082.667,4333.567,4676.839,4535.154,4814.508,2998.262,3369.523,4237.382,4014.857
29,4453.135,4363.917,4493.062,4382.583,3779.346,3897.438,3174.529,3113.333,4336.054,4663.258,4552.769,4826.279,2997.928,3364.136,4283.559,3972.762
30,4480.539,4386.875,4478.562,4373.167,3765.039,3906.438,3172.853,3087.333,4352.892,4639.839,4540.500,4832.213,2995.905,3368.045,4274.353,3957.905
31,4466.308,4338.458,4504.812,4337.333,3772.846,3867.500,3169.500,3012.000,4324.622,4659.774,4559.308,4778.279,2999.833,3377.273,4254.206,4003.095
