 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
1,4440.734,4743.135,4481.361,4849.885,4953.100,5040.222,4939.559,4547.464,4415.438,5159.028
2,4462.875,4809.500,4514.583,4935.692,5049.400,5072.389,4987.412,4577.250,4490.250,5222.000
3,4459.125,4863.711,4548.778,4917.039,5068.100,5100.306,5051.059,4647.250,4593.812,5200.472
4,4429.375,4925.500,4597.222,4949.961,5052.025,5130.083,5096.471,4668.321,4631.531,5235.389
5,4414.625,4931.615,4640.583,4961.231,4996.163,5169.139,5075.235,4709.500,4748.344,5235.444
6,4405.484,4961.769,4640.139,4989.423,4947.288,5238.972,5067.265,4744.821,4774.188,5279.500
7,4404.359,5007.211,4640.333,4985.769,4901.650,5268.083,5089.765,4748.893,4790.406,5254.694
8,4352.922,4985.231,4597.500,5002.346,4850.337,5350.333,5065.824,4745.500,4854.406,5262.694
9,4354.281,5032.692,4630.806,4996.615,4784.850,5413.889,5039.353,4728.429,4861.406,5278.139
10,4354.438,5050.115,4604.361,5007.269,4725.788,5408.389,5052.118,4722.321,4834.312,5294.806
11,4343.469,5058.827,4586.278,4982.961,4674.425,5375.139,5015.235,4694.107,4866.750,5309.056
12,4318.547,5003.654,4563.611,4979.654,4638.625,5382.028,5016.676,4688.107,4897.312,5272.028
13,4306.703,5002.596,4527.111,4927.000,4612.725,5383.861,4976.529,4686.250,4871.312,5294.750
14,4283.016,4958.077,4522.778,4944.385,4552.825,5384.250,4956.794,4675.643,4828.625,5308.972
15,4292.953,4927.635,4514.694,4908.077,4505.425,5368.750,4962.059,4633.536,4786.438,5326.694
16,4288.875,4894.192,4506.056,4891.115,4455.500,5343.583,4922.706,4623.643,4745.156,5289.667
17,4259.875,4883.423,4487.750,4850.692,4427.138,5294.944,4893.000,4570.464,4704.438,5313.222
18,4263.016,4847.500,4500.083,4836.885,4371.650,5276.972,4885.706,4589.250,4700.250,5318.694
19,4254.734,4813.327,4473.083,4821.692,4337.462,5220.306,4863.382,4559.857,4649.219,5335.639
20,4252.047,4812.654,4447.056,4793.961,4291.263,5217.278,4809.441,4539.893,4622.656,5390.444
21,4243.125,4764.539,4461.639,4793.269,4258.438,5190.861,4831.441,4526.964,4599.812,5377.028
22,4222.625,4759.711,4461.028,4729.846,4225.538,5180.667,4817.176,4458.000,4577.938,5418.139
23,4211.156,4728.019,4439.083,4704.692,4189.925,5149.694,4786.441,4467.821,4512.906,5388.056
24,4201.953,4692.961,4408.444,4719.385,4154.962,5097.083,4760.059,4450.643,4478.344,5383.583
25,4209.766,4705.904,4394.083,4666.885,4119.638,5084.778,4747.059,4461.964,4460.562,5382.694
26,4198.734,4674.192,4416.556,4654.923,4112.775,5066.111,4749.235,4438.143,4443.594,5405.222
27,4201.219,4659.154,4364.778,4643.077,4073.275,5030.306,4729.647,4396.214,4416.719,5400.917
28,4208.391,4634.500,4405.667,4614.385,4036.450,5023.556,4700.647,4424.714,4383.969,5400.278
29,4191.766,4608.673,4400.389,4607.539,4002.800,5003.778,4701.588,4381.714,4360.031,5401.972
30,4198.703,4593.289,4366.389,4585.731,3991.825,4969.694,4678.882,4362.571,4331.938,5379.917
31,4190.719,4573.173,4357.222,4559.539,3979.288,4956.333,4659.176,4344.071,4322.500,5374.722
32,4186.375,4600.750,4349.806,4532.385,3935.962,4939.694,4630.676,4313.893,4294.125,5365.806
33,4182.594,4566.711,4377.639,4526.039,3933.762,4925.667,4651.618,4337.500,4236.406,5348.333
34,4177.891,4561.577,4335.778,4504.615,3882.675,4891.444,4633.676,4313.679,4250.000,5365.417
35,4173.047,4540.327,4369.250,4527.039,3872.075,4919.528,4612.235,4301.893,4225.781,5330.528
36,4173.234,4548.173,4349.167,4537.385,3849.950,4891.667,4607.294,4297.821,4201.844,5315.194
37,4177.656,4533.231,4339.889,4505.346,3845.238,4882.139,4608.588,4295.500,4143.688,5294.667
38,4177.234,4505.769,4347.583,4517.731,3832.587,4854.833,4574.824,4267.500,4151.438,5320.639
39,4170.781,4508.192,4346.222,4457.654,3793.363,4844.861,4592.647,4264.929,4114.344,5299.583
40,4170.844,4493.558,4315.500,4476.231,3805.087,4854.083,4566.294,4254.321,4109.500,5262.722
41,4168.953,4482.250,4328.167,4482.846,3770.725,4826.556,4569.235,4242.143,4079.625,5268.444
42,4167.938,4482.308,4316.694,4466.308,3743.375,4830.667,4542.588,4238.964,4072.438,5250.611
43,4186.562,4475.019,4323.694,4432.077,3744.275,4813.278,4554.176,4243.393,4050.281,5240.222
44,4164.031,4462.865,4314.556,4457.692,3716.212,4802.611,4516.706,4216.464,4048.031,5200.583
45,4161.891,4446.981,4318.417,4413.846,3713.962,4792.972,4505.529,4213.286,4032.875,5235.472
46,4176.984,4440.327,4309.028,4396.577,3689.750,4804.333,4503.618,4196.071,4007.750,5254.222
47,4156.656,4443.000,4343.861,4428.385,3686.312,4792.472,4498.324,4217.536,3988.031,5214.278
48,4166.219,4429.346,4338.722,4400.577,3671.025,4794.750,4502.912,4184.464,3958.594,5226.222
