 ,Mean1,Mean2,Mean3,Mean4,Mean5
1,2864.000,3827.438,4201.250,3001.750,3353.600
2,2808.125,3813.125,4171.500,3033.750,3356.100
3,2813.500,3840.750,4136.500,2989.000,3347.100
4,2825.250,3802.438,4150.500,2992.750,3319.300
5,2837.750,3804.938,4127.125,3067.250,3352.700
6,2820.875,3808.375,4159.125,2949.750,3373.900
7,2807.125,3796.625,4147.125,2965.750,3383.900
8,2861.000,3807.562,4226.625,2987.750,3377.400
9,2898.750,3778.688,4112.125,3004.250,3367.900
10,2853.375,3805.438,4125.375,3013.000,3360.700
11,2837.250,3730.250,4195.500,2936.250,3377.500
12,2843.875,3767.750,4115.125,2995.250,3394.100
13,2866.625,3776.188,4205.000,2945.000,3371.500
14,2813.500,3742.812,4130.500,3015.000,3378.800
15,2869.250,3732.250,4114.875,3020.000,3373.200
16,2834.750,3772.875,4093.125,2965.000,3330.600
17,2828.000,3749.875,4180.750,3073.250,3353.700
18,2846.500,3773.188,4082.875,3004.500,3353.000
19,2842.500,3759.375,4175.625,3036.250,3356.500
20,2878.875,3748.625,4161.625,3033.750,3373.500
21,2834.250,3716.812,4183.125,2997.750,3363.100
22,2811.500,3756.625,4078.750,3012.500,3338.700
23,2804.625,3716.438,4103.625,3028.000,3321.800
24,2824.250,3762.000,4102.375,2977.000,3342.400
25,2830.625,3722.812,4121.500,3001.000,3360.100
26,2836.125,3721.062,4155.125,3015.000,3350.300
27,2841.500,3739.500,4147.125,3016.750,3348.700
28,2842.250,3766.188,4122.500,2983.500,3327.500
29,2812.250,3771.438,4151.125,2969.750,3374.700
30,2849.750,3753.688,4197.000,3010.000,3339.700
31,2818.375,3804.188,4091.250,3052.000,3360.800
32,2860.625,3781.500,4145.375,2976.000,3334.200
33,2824.250,3798.062,4171.125,2981.250,3352.200
34,2822.000,3787.375,4155.250,2996.000,3375.500
35,2827.000,3784.750,4181.750,2993.750,3336.700
36,2874.750,3787.438,4058.500,2982.500,3340.700
37,2835.750,3798.688,4171.250,2945.750,3347.900
38,2839.875,3797.312,4147.375,2969.250,3356.200
39,2821.125,3799.062,4130.750,3025.250,3361.900
40,2838.625,3778.438,4137.250,3029.000,3331.700
41,2818.375,3787.688,4137.625,2996.500,3342.500
42,2887.500,3756.625,4132.625,2994.750,3346.700
43,2840.750,3785.312,4140.875,2980.250,3379.700
44,2802.500,3730.625,4159.375,2928.750,3352.500
45,2832.000,3780.125,4128.000,2999.000,3379.600
46,2840.000,3752.812,4132.625,2960.500,3368.100
47,2826.125,3762.938,4114.250,2992.250,3364.100
48,2832.000,3758.688,4105.750,2957.250,3384.100
49,2807.375,3757.062,4155.125,2958.000,3351.000
50,2844.875,3738.812,4081.750,3015.000,3373.500
51,2832.750,3720.000,4163.750,3069.750,3326.400
52,2830.625,3751.562,4127.625,2997.000,3352.300
53,2837.375,3774.812,4151.625,2996.500,3360.600
54,2852.875,3730.188,4125.000,2934.750,3395.600
55,2840.000,3747.438,4099.750,2964.250,3348.300
56,2871.500,3735.875,4121.250,2980.500,3342.300
57,2841.750,3766.875,4147.500,3043.000,3364.200
58,2798.250,3686.438,4096.250,3011.500,3327.500
59,2809.000,3717.688,4122.125,3046.500,3334.600
60,2822.875,3717.375,4140.125,2975.750,3313.200
61,2828.250,3743.188,4148.875,2921.000,3350.200
62,2837.500,3732.375,4100.500,2994.250,3320.300
63,2819.125,3713.000,4134.625,2948.250,3325.000
64,2838.500,3717.438,4114.125,3002.250,3344.500
65,2828.000,3709.750,4068.000,3009.500,3382.700
66,2847.125,3695.688,4119.750,3041.750,3397.300
67,2850.500,3722.312,4184.625,2959.250,3320.600
68,2836.250,3690.062,4125.500,2993.750,3344.000
69,2855.750,3728.750,4090.500,2960.500,3340.400
70,2856.625,3792.812,4144.875,3008.250,3356.900
71,2838.375,3774.438,4089.125,2999.500,3386.700
72,2825.375,3765.125,4116.000,2943.500,3367.900
73,2846.000,3789.438,4161.750,3063.250,3352.700
74,2848.875,3769.188,4140.625,2997.000,3346.500
75,2862.375,3774.500,4134.750,2963.250,3349.000
76,2858.000,3788.062,4120.125,2976.500,3368.600
77,2823.500,3748.562,4126.250,2936.500,3363.900
78,2844.375,3779.500,4116.875,2985.750,3302.900
79,2817.750,3782.500,4085.625,3031.500,3345.400
80,2834.000,3744.688,4126.000,2986.500,3331.500
81,2816.000,3773.000,4141.250,3011.750,3371.400
82,2844.500,3744.625,4156.125,3047.000,3367.800
83,2844.125,3763.625,4111.500,3014.250,3314.900
84,2859.625,3722.250,4186.625,3004.000,3371.100
85,2829.250,3712.562,4120.625,2958.000,3335.900
86,2827.750,3738.125,4130.875,2971.750,3341.500
87,2821.500,3700.625,4156.250,2974.750,3339.100
88,2829.625,3754.438,4054.125,3022.500,3324.500
89,2829.500,3785.062,4105.125,2934.500,3341.200
90,2848.875,3789.875,4070.875,2983.750,3381.700
91,2838.125,3796.750,4101.625,3005.500,3344.400
92,2816.750,3826.188,4108.875,3035.250,3372.800
93,2810.500,3803.000,4105.125,2952.000,3380.200
94,2833.750,3800.438,4096.375,3004.500,3350.500
95,2856.500,3797.688,4148.625,2975.000,3331.600
96,2839.375,3780.938,4144.375,3038.000,3371.200
97,2848.875,3801.688,4173.375,2939.750,3359.300
98,2842.750,3738.875,4168.125,2961.250,3372.700
99,2826.875,3757.812,4110.250,3076.500,3345.000
100,2836.250,3777.875,4113.500,2994.750,3354.100
101,2849.250,3757.562,4122.750,2985.000,3343.800
102,2813.000,3731.312,4151.875,2984.250,3372.200
103,2809.375,3741.500,4136.750,2991.500,3374.100
104,2857.000,3756.688,4138.875,2983.000,3347.700
105,2863.375,3751.188,4092.875,3007.000,3348.500
106,2847.250,3746.125,4143.375,2977.750,3391.000
107,2837.750,3726.000,4111.875,2970.750,3359.400
108,2828.000,3722.875,4114.500,3002.250,3349.000
109,2813.375,3718.438,4152.750,3025.000,3318.100
110,2908.625,3723.375,4156.250,2954.500,3340.900
111,3305.125,3776.375,4106.375,3038.250,3330.800
112,3537.625,3809.875,4105.000,3102.500,3383.300
113,3721.625,3837.125,4111.625,3093.750,3381.100
114,3801.875,3827.375,4091.375,3163.750,3457.000
115,3897.375,3861.750,4162.125,3154.750,3505.400
116,3982.875,3993.688,4206.625,3286.500,3517.800
117,3989.625,4030.062,4233.750,3337.500,3608.200
118,4082.000,4081.562,4231.000,3426.000,3646.500
119,4152.875,4123.438,4267.000,3505.500,3685.100
120,4070.000,4190.875,4366.375,3515.250,3723.800
121,4130.750,4186.750,4464.750,3647.000,3760.400
122,4236.625,4256.000,4618.250,3655.500,3847.700
123,4198.500,4354.562,4795.500,3783.500,3871.200
124,4153.375,4386.188,4895.375,3802.750,3883.200
125,4196.375,4414.125,5063.125,3914.750,3954.100
126,4211.875,4468.562,5176.000,4019.000,4006.300
127,4265.875,4459.500,5366.250,4023.500,4008.500
128,4267.625,4469.250,5521.625,4031.000,4041.200
129,4282.875,4574.500,5670.125,4129.250,4027.100
130,4257.625,4558.625,5718.625,4227.250,4065.000
131,4262.375,4584.188,5868.375,4186.500,4058.100
132,4233.625,4644.250,5976.125,4206.500,4056.100
133,4220.625,4653.562,6048.875,4277.750,4066.500
134,4185.250,4685.250,6059.000,4218.250,4119.900
135,4260.875,4669.625,6184.750,4221.000,4125.200
136,4265.875,4666.938,6193.500,4264.500,4191.700
137,4237.375,4623.188,6220.375,4257.500,4175.300
138,4241.625,4669.812,6325.625,4169.750,4172.900
139,4232.875,4629.688,6355.000,4261.500,4236.600
140,4292.875,4608.000,6342.375,4239.250,4184.200
141,4266.875,4606.875,6457.125,4339.250,4192.600
142,4228.125,4638.250,6506.250,4226.250,4229.800
143,4222.000,4582.125,6455.500,4281.250,4180.500
144,4240.375,4603.375,6471.125,4185.500,4206.900
145,4188.250,4579.938,6417.750,4133.250,4162.100
146,4250.375,4552.125,6514.250,4178.750,4200.800
147,4266.875,4529.625,6434.750,4091.500,4197.600
148,4204.750,4524.125,6430.875,4163.500,4204.100
149,4280.000,4541.312,6425.750,4099.500,4208.000
150,4177.250,4468.500,6415.375,4095.500,4197.000
151,4184.375,4522.125,6355.750,4139.000,4209.100
152,4220.625,4490.000,6437.125,4110.250,4137.100
153,4216.125,4483.562,6401.750,4087.500,4149.800
154,4198.500,4464.375,6432.375,4137.000,4091.000
155,4178.750,4463.312,6436.625,4107.250,4102.700
156,4181.625,4448.625,6368.625,4135.500,4116.100
157,4157.750,4406.188,6457.750,4078.750,4122.100
158,4207.750,4407.188,6459.625,3967.000,4089.900
159,4242.500,4379.750,6370.875,4047.000,4011.100
160,4141.500,4395.750,6354.125,3974.750,4032.600
161,4200.250,4341.250,6375.750,3937.000,4069.200
162,4145.625,4342.938,6360.250,3928.500,3998.100
163,4132.250,4336.125,6334.875,3894.750,3975.400
164,4096.875,4354.250,6339.875,3846.250,3964.200
165,4117.500,4323.438,6325.375,3873.000,3934.400
166,4095.125,4316.500,6403.875,3819.000,3972.800
167,4076.500,4271.938,6218.625,3806.000,3899.900
168,4121.250,4309.375,6333.000,3806.250,3968.600
169,4053.875,4262.312,6302.125,3784.500,3933.800
170,4030.375,4288.625,6249.000,3797.500,3912.900
171,4071.750,4252.188,6259.500,3719.000,3863.700
172,4048.625,4249.688,6234.875,3725.500,3846.900
173,4098.500,4254.250,6275.125,3721.000,3844.100
174,4038.250,4186.312,6234.500,3712.500,3884.300
175,4072.750,4201.125,6285.125,3696.750,3807.100
176,4065.375,4175.625,6274.625,3710.750,3826.700
177,4049.750,4207.312,6201.125,3732.000,3838.700
178,4026.875,4225.062,6199.875,3686.500,3809.500
179,4108.875,4186.625,6185.625,3589.500,3820.600
180,3961.750,4196.125,6198.625,3601.250,3764.600
181,4043.875,4175.312,6072.250,3650.750,3777.300
182,4002.875,4157.312,6128.750,3586.250,3777.600
183,4020.750,4155.438,6110.125,3588.750,3762.500
184,3995.000,4112.938,6098.000,3589.250,3716.900
185,3981.750,4151.812,6043.125,3609.500,3732.100
186,3977.375,4134.938,6045.750,3532.250,3745.700
187,4004.125,4174.312,6020.000,3597.000,3705.400
188,3911.500,4120.125,6093.000,3562.250,3694.400
189,3971.250,4098.562,5995.625,3552.500,3716.500
190,3964.750,4085.625,6054.250,3468.000,3717.800
191,3981.125,4111.750,5959.750,3489.750,3692.700
192,3929.625,4075.188,5960.375,3491.500,3652.500
193,3940.250,4111.938,5979.000,3445.000,3672.200
194,3905.250,4062.250,5903.000,3476.500,3683.500
195,3923.125,4057.438,5889.375,3409.750,3680.300
196,3923.500,4104.875,5811.250,3512.750,3651.000
197,3904.250,4048.250,5906.625,3459.250,3608.500
198,3924.125,4047.938,5864.375,3447.500,3666.100
199,3944.375,4043.125,5852.375,3430.750,3625.800
200,3931.875,4015.500,5779.375,3443.250,3633.800
201,3930.125,4006.438,5854.750,3439.750,3630.900
202,3961.000,4040.500,5861.500,3446.750,3618.000
203,3936.500,4003.500,5766.125,3403.750,3567.100
204,3877.875,3984.250,5736.875,3392.500,3618.000
205,3868.250,3998.875,5777.125,3402.750,3601.300
206,3871.125,4028.312,5753.375,3448.500,3608.100
207,3862.625,3978.938,5689.000,3378.250,3627.100
208,3906.625,4006.625,5721.375,3426.500,3587.300
209,3863.250,3997.312,5666.875,3383.500,3627.000
210,3876.125,3986.562,5630.875,3396.000,3599.100
211,3872.250,3984.938,5584.250,3360.250,3581.600
212,3895.250,3969.125,5606.125,3404.750,3577.100
213,3913.250,3955.938,5598.500,3345.250,3609.200
214,3908.750,3978.625,5556.625,3304.250,3568.000
215,3879.375,3945.812,5580.000,3340.750,3549.200
216,3876.125,3920.750,5561.750,3372.500,3573.300
217,3830.500,3918.250,5546.000,3378.750,3548.100
218,3824.875,3928.438,5493.625,3319.500,3529.400
219,3923.750,3968.688,5455.125,3336.000,3554.000
220,3806.750,3965.812,5454.375,3337.500,3527.700
221,3822.375,3958.438,5432.750,3243.500,3546.900
222,3883.625,3943.562,5375.875,3284.250,3548.400
223,3828.750,3936.562,5401.000,3295.000,3524.800
224,3839.750,3906.125,5313.750,3311.250,3502.700
225,3864.500,3895.250,5399.625,3303.750,3499.900
226,3855.375,3879.000,5294.625,3226.000,3510.000
227,3870.625,3900.688,5335.000,3310.750,3543.000
228,3866.625,3876.125,5290.000,3242.750,3496.400
229,3890.375,3880.688,5295.750,3303.000,3487.100
230,3876.500,3861.875,5332.875,3247.000,3520.900
