 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
1,4226.528,3932.039,3036.886,3100.500,3876.882,2881.250,4683.000,4352.917,4585.327,3993.428,4131.545,4429.333
2,4220.333,3941.269,3030.136,3106.167,3893.118,2833.375,4687.000,4361.000,4592.981,3954.000,4133.727,4429.750
3,4227.639,3915.923,3032.500,3090.417,3899.765,2864.250,4749.000,4355.183,4602.673,3945.238,4128.636,4397.750
4,4192.111,3952.615,3025.909,3092.000,3891.206,2897.875,4680.500,4349.917,4589.115,3972.095,4124.182,4411.083
5,4213.222,3914.000,3042.364,3108.333,3886.588,2870.000,4716.833,4346.300,4594.173,3966.286,4137.818,4446.917
6,4219.972,3956.231,3033.477,3095.167,3889.235,2808.250,4752.833,4358.417,4593.558,3966.286,4091.455,4420.917
7,4224.806,3941.539,3040.750,3068.750,3888.000,2851.875,4718.667,4360.183,4602.442,3966.428,4109.455,4465.333
8,4227.583,3914.077,3036.068,3081.750,3898.353,2880.750,4750.167,4360.333,4604.500,3926.381,4096.182,4412.083
9,4196.778,3928.308,3045.409,3138.917,3899.000,2868.375,4751.833,4352.517,4595.673,3974.619,4145.909,4396.750
10,4212.000,3970.385,3038.000,3046.333,3879.882,2904.000,4714.833,4365.950,4592.981,4002.190,4109.636,4426.750
11,4209.583,3932.539,3045.091,3112.333,3906.265,2850.500,4750.833,4356.083,4612.692,3981.428,4169.091,4498.083
12,4203.083,3937.654,3021.432,3104.417,3888.000,2881.625,4679.333,4371.467,4604.961,3958.905,4133.364,4445.500
13,4194.528,3964.846,3047.023,3063.500,3880.706,2854.625,4698.167,4359.300,4591.346,3972.762,4115.000,4475.083
14,4230.833,3955.923,3036.000,3092.750,3876.353,2869.750,4753.333,4357.783,4600.154,3976.476,4153.091,4459.833
15,4189.833,3930.654,3033.955,3106.667,3916.647,2897.125,4728.833,4353.750,4597.750,3974.572,4114.909,4413.500
16,4220.306,3923.961,3035.227,3072.083,3893.235,2845.125,4776.500,4366.967,4615.519,3965.857,4151.364,4442.667
17,4205.278,3967.461,3048.818,3113.083,3893.618,2889.125,4774.667,4342.567,4607.481,3957.810,4154.182,4390.750
18,4213.694,3949.539,3034.500,3097.250,3925.823,2857.125,4704.167,4362.350,4588.308,3971.905,4121.364,4420.000
19,4224.361,3930.385,3038.045,3104.167,3891.412,2868.125,4779.500,4366.183,4611.000,3963.762,4117.455,4436.083
20,4181.361,3941.692,3028.818,3087.583,3887.206,2850.625,4711.167,4355.150,4605.019,3997.143,4131.727,4417.833
21,4203.139,3960.423,3047.636,3101.250,3898.265,2869.250,4714.667,4340.800,4609.539,3948.095,4116.182,4439.083
22,4227.278,3934.615,3048.114,3124.333,3877.588,2883.000,4740.667,4340.317,4610.808,3975.000,4121.000,4443.083
23,4220.667,3948.039,3047.886,3109.083,3901.559,2895.000,4729.833,4351.450,4616.558,3999.381,4130.909,4452.667
24,4215.944,3937.385,3027.341,3110.500,3900.500,2883.875,4711.000,4367.233,4582.346,3963.476,4105.818,4447.000
25,4208.056,3921.539,3040.841,3138.417,3906.618,2891.625,4777.000,4372.233,4606.750,3974.810,4119.455,4460.917
26,4215.917,3962.000,3049.977,3119.667,3894.735,2906.875,4801.167,4355.600,4586.654,4005.810,4139.636,4427.917
27,4199.417,3961.231,3032.023,3083.750,3915.529,2843.250,4756.500,4363.817,4604.961,3951.905,4160.091,4454.083
28,4205.389,3948.115,3042.705,3119.417,3886.971,2906.750,4750.833,4363.083,4598.942,3975.619,4100.909,4446.750
29,4233.528,3953.461,3027.750,3100.417,3886.794,2825.125,4711.333,4344.600,4598.000,3981.333,4129.545,4451.083
30,4197.639,3913.692,3041.614,3121.333,3916.559,2895.375,4698.000,4356.867,4616.039,3954.476,4138.364,4392.833
31,4229.778,3945.154,3051.114,3108.167,3897.147,2884.000,4753.833,4370.617,4612.269,3967.048,4157.909,4386.750
32,4205.472,3947.846,3036.659,3084.500,3904.529,2830.875,4748.667,4371.833,4614.442,3952.476,4144.455,4466.583
33,4223.861,3946.269,3034.205,3121.500,3911.323,2872.750,4734.167,4359.750,4613.461,3984.333,4102.455,4457.667
34,4234.528,3945.346,3051.795,3132.750,3902.588,2864.250,4752.000,4350.650,4620.519,3955.190,4102.364,4435.583
35,4210.583,3943.346,3036.523,3114.500,3892.353,2865.375,4708.833,4371.550,4610.308,3986.333,4123.545,4468.917
36,4222.528,3923.423,3044.955,3117.583,3891.882,2828.500,4747.333,4362.467,4609.404,4000.619,4088.636,4457.250
37,4224.694,3939.769,3037.818,3127.667,3900.088,2860.125,4749.833,4382.450,4609.923,3936.190,4143.636,4443.917
38,4228.806,3944.154,3044.818,3078.333,3913.500,2869.625,4753.167,4358.733,4605.289,3960.714,4112.364,4483.583
39,4217.889,3942.769,3042.364,3111.000,3881.559,2885.250,4697.500,4359.683,4610.365,3950.476,4122.636,4459.500
40,4210.056,3932.731,3058.205,3137.667,3917.971,2863.250,4693.333,4336.767,4612.673,3973.905,4140.545,4433.917
41,4227.750,3952.923,3037.909,3119.250,3920.235,2858.750,4738.500,4388.933,4620.231,3960.952,4166.000,4422.333
42,4214.139,3967.385,3063.386,3126.583,3909.677,2855.375,4752.667,4377.883,4617.231,3974.190,4130.636,4444.833
43,4230.583,3923.769,3035.977,3127.583,3906.471,2864.625,4728.000,4356.683,4613.731,3966.762,4109.364,4462.167
44,4198.861,3958.615,3037.114,3114.583,3906.853,2875.625,4719.333,4361.467,4630.231,3967.190,4110.818,4404.167
