 ,Mean1,Mean2,Mean3,Mean4
1,2779.875,3825.800,3976.167,3672.545
2,2770.938,3839.100,3960.048,3648.932
3,2761.771,3813.300,3978.667,3680.568
4,2781.271,3850.850,3985.857,3673.250
5,2766.042,3852.650,3993.310,3688.977
6,2764.271,3847.500,3967.357,3665.114
7,2776.021,3825.250,3985.786,3667.932
8,2755.562,3844.800,4006.024,3677.955
9,2775.667,3872.550,3987.357,3680.636
10,2769.354,3880.400,3980.048,3673.159
11,2770.396,3846.000,3993.572,3650.227
12,2783.438,3880.900,3987.190,3680.795
13,2782.479,3853.650,3995.881,3686.886
14,2769.438,3845.550,4001.738,3683.273
15,2771.292,3878.600,3986.405,3694.364
16,2770.438,3836.150,3986.310,3674.250
17,2771.896,3857.650,4003.405,3671.932
18,2785.062,3867.900,4002.595,3670.045
19,2789.417,3838.700,3980.428,3674.591
20,2781.083,3852.250,3983.810,3682.432
21,2772.375,3845.550,3986.500,3681.023
22,2790.208,3844.500,3976.143,3692.705
23,2765.854,3851.600,3968.119,3675.795
24,2787.125,3855.900,3992.405,3679.136
25,2791.000,3868.150,3976.952,3669.477
26,2780.312,3861.400,3976.952,3689.750
27,2798.146,3829.300,3995.786,3691.955
28,2782.062,3854.650,4004.786,3684.182
29,2776.458,3860.850,3982.143,3677.727
30,2783.979,3845.250,3980.072,3673.227
31,2784.167,3880.750,3995.738,3672.045
32,2790.021,3852.400,3982.476,3675.227
33,2788.938,3860.400,3980.428,3678.659
34,2773.562,3873.700,3985.643,3662.114
35,2765.271,3866.350,3986.238,3685.955
36,2780.729,3846.100,3970.167,3691.091
37,2798.062,3847.050,3994.357,3667.432
38,2778.042,3857.300,3991.357,3694.591
39,2778.812,3848.300,3988.167,3662.614
40,2780.458,3859.850,3971.905,3688.841
41,2783.292,3822.700,3998.143,3694.045
42,2768.438,3844.900,3991.976,3693.864
43,2787.479,3846.250,3975.762,3679.636
44,2786.562,3866.150,3968.572,3687.136
45,2785.229,3835.750,3998.952,3689.455
46,2796.667,3861.450,3974.524,3667.068
47,2779.521,3835.050,3974.619,3685.250
48,2792.688,3874.400,3989.762,3675.795
49,2786.083,3861.500,3991.428,3689.182
50,2776.917,3870.250,3988.405,3664.545
51,2786.062,3859.150,3993.310,3706.023
52,2798.833,3859.150,3997.143,3708.568
53,2791.688,3848.900,3984.476,3689.364
54,2782.167,3852.550,3999.024,3685.432
55,2789.438,3861.100,3997.000,3671.727
56,2784.729,3836.900,4002.786,3665.455
57,2782.250,3864.650,3956.524,3702.318
58,2802.292,3871.900,3974.548,3696.932
59,2788.771,3849.500,3977.452,3677.841
60,2774.604,3860.200,3987.357,3692.136
61,2775.833,3830.000,3985.310,3691.682
62,2799.208,3856.600,3991.976,3672.318
63,2762.688,3887.900,4008.762,3690.568
64,2780.250,3851.550,3983.500,3683.614
65,2778.833,3848.400,3995.762,3689.568
66,2781.875,3836.700,3986.119,3693.250
67,2768.354,3855.800,3986.952,3690.318
68,2788.688,3823.150,4004.476,3668.000
69,2784.062,3847.000,3974.262,3706.432
70,2781.583,3861.250,4017.667,3695.477
71,2777.167,3836.300,3965.333,3709.477
72,2790.417,3824.300,4005.690,3688.795
73,2775.062,3841.050,3993.667,3704.500
74,2785.688,3873.550,3994.310,3693.159
75,2782.479,3855.300,3972.619,3681.295
76,2785.042,3852.450,3979.500,3699.068
77,2779.583,3817.750,3994.190,3666.114
78,2792.021,3858.800,3970.310,3681.273
79,2764.208,3876.150,3995.190,3692.818
80,2790.146,3855.450,3989.500,3687.273
81,2780.854,3835.250,4008.572,3682.932
82,2784.875,3843.900,3994.310,3694.545
83,2783.000,3857.650,3992.119,3687.545
