 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
1,3757.364,3461.731,3152.765,3156.346,4140.650,3180.839,4171.107,3910.250,2870.017,3062.219
2,3742.864,3469.211,3155.294,3163.731,4172.500,3162.871,4181.143,3947.650,2882.293,3034.344
3,3742.455,3450.519,3168.265,3137.692,4132.700,3165.290,4149.821,3946.300,2868.862,3038.469
4,3736.500,3473.308,3154.294,3146.500,4134.150,3174.677,4165.321,3963.500,2887.328,3063.031
5,3764.250,3467.077,3172.029,3141.346,4170.100,3186.903,4170.107,3936.650,2877.224,3039.469
6,3770.545,3449.231,3141.559,3144.539,4182.000,3164.194,4164.536,3937.700,2864.000,3048.781
7,3742.682,3468.808,3159.588,3150.077,4179.850,3153.032,4172.786,3938.000,2886.362,3049.031
8,3738.682,3461.000,3158.353,3143.346,4179.250,3158.226,4159.286,3941.400,2871.741,3053.938
9,3729.091,3475.961,3161.912,3140.654,4173.100,3164.968,4182.786,3897.800,2874.569,3030.938
10,3752.977,3452.692,3158.765,3145.577,4159.200,3160.000,4147.071,3976.850,2865.828,3055.062
11,3730.136,3481.539,3164.706,3142.115,4147.250,3161.097,4163.607,3924.900,2877.052,3045.594
12,3760.136,3450.769,3145.765,3117.346,4167.100,3168.258,4161.393,3940.650,2871.345,3030.531
13,3753.909,3443.500,3151.971,3140.577,4138.900,3171.968,4156.179,3956.200,2871.828,3028.938
14,3740.932,3480.731,3155.265,3145.654,4191.550,3198.516,4173.071,3957.400,2881.224,3050.938
15,3720.955,3461.154,3155.677,3142.385,4185.450,3160.419,4183.179,3947.750,2879.638,3034.969
16,3732.750,3461.308,3169.823,3150.731,4173.050,3169.032,4167.107,3954.150,2872.172,3057.531
17,3737.273,3457.404,3175.118,3160.385,4167.350,3161.613,4129.000,3957.300,2875.638,3043.281
18,3747.614,3450.500,3143.912,3146.461,4160.150,3170.839,4161.643,3945.900,2873.966,3032.750
19,3740.318,3447.885,3168.000,3142.769,4164.900,3172.194,4146.464,3945.700,2865.086,3030.375
20,3732.818,3461.711,3166.765,3146.577,4177.100,3153.161,4132.429,3938.500,2879.845,3040.562
21,3734.795,3452.596,3167.265,3138.808,4162.450,3176.839,4154.000,3958.800,2873.052,3055.125
22,3758.659,3460.115,3181.765,3153.231,4172.300,3157.806,4160.429,3958.350,2870.155,3048.281
23,3738.205,3446.211,3151.971,3161.846,4161.600,3167.936,4181.714,3966.300,2889.241,3047.031
24,3725.455,3475.211,3153.677,3142.385,4179.700,3171.710,4171.643,3962.150,2876.724,3055.156
25,3729.295,3452.289,3163.647,3164.039,4175.650,3177.290,4148.607,3967.200,2880.966,3042.719
26,3730.614,3470.904,3132.735,3163.846,4139.400,3160.581,4116.321,3954.700,2870.845,3042.969
27,3741.750,3453.327,3173.412,3138.192,4184.900,3193.161,4144.821,3927.750,2867.810,3027.188
28,3713.795,3453.750,3158.029,3175.731,4158.000,3163.419,4179.607,3934.800,2881.190,3029.812
29,3729.159,3451.808,3152.088,3124.115,4170.900,3157.516,4150.393,3977.250,2860.017,3043.531
30,3741.909,3460.115,3155.353,3152.192,4176.700,3177.871,4153.607,3946.350,2869.879,3034.375
31,3760.182,3466.558,3131.029,3129.461,4170.650,3165.032,4159.500,3956.350,2870.879,3026.844
32,3732.841,3439.077,3156.323,3145.423,4155.100,3169.419,4143.750,3956.000,2865.983,3036.500
33,3739.205,3461.808,3132.941,3156.808,4152.550,3183.161,4167.286,3939.350,2881.931,3042.344
34,3737.750,3464.019,3150.294,3143.269,4170.600,3182.419,4144.036,3944.450,2871.500,3044.750
35,3734.432,3461.135,3158.059,3137.269,4173.050,3179.677,4131.071,3928.100,2878.500,3027.750
36,3759.023,3477.500,3146.706,3135.654,4190.400,3183.548,4157.786,3928.400,2887.241,3046.625
37,3740.250,3458.327,3154.471,3116.346,4170.600,3172.871,4153.679,3950.850,2877.224,3041.438
38,3739.818,3461.211,3153.412,3159.769,4165.400,3164.936,4170.643,3946.050,2871.155,3055.281
39,3747.227,3464.846,3169.177,3146.308,4147.300,3167.742,4135.964,3938.550,2868.931,3044.188
40,3745.909,3439.961,3152.588,3127.039,4162.500,3157.419,4137.536,3915.300,2875.621,3033.812
41,3743.318,3454.539,3142.882,3149.692,4169.600,3177.806,4120.536,3955.250,2862.983,3045.500
42,3746.432,3452.365,3165.118,3151.923,4155.500,3167.258,4143.893,3960.150,2868.862,3048.250
43,3752.682,3441.750,3163.706,3130.731,4130.000,3192.839,4128.107,3937.950,2871.793,3036.594
44,3745.159,3452.269,3145.529,3149.885,4192.950,3180.323,4137.107,3942.000,2875.948,3024.750
45,3730.432,3460.192,3143.882,3150.885,4167.150,3168.419,4176.536,3953.750,2873.741,3043.344
46,3747.750,3464.981,3152.559,3154.961,4159.900,3173.258,4163.893,3956.550,2870.983,3025.844
47,3757.455,3456.308,3174.706,3136.231,4137.450,3176.419,4188.250,3944.100,2888.879,3036.906
48,3755.523,3441.539,3143.882,3150.539,4167.000,3150.484,4145.393,3970.450,2861.862,3034.531
49,3749.182,3454.615,3137.235,3148.692,4156.750,3189.548,4140.429,3955.600,2871.655,3017.625
50,3731.705,3442.519,3164.000,3163.346,4183.800,3161.806,4187.679,3952.600,2866.983,3059.969
51,3757.250,3430.577,3145.147,3152.154,4138.800,3177.064,4154.321,3944.350,2868.448,3038.031
52,3740.091,3453.173,3146.765,3160.346,4145.600,3150.387,4157.000,3953.300,2871.793,3064.312
53,3725.250,3428.961,3147.235,3134.808,4172.900,3179.355,4135.929,3950.450,2865.086,3049.375
54,3757.205,3448.423,3157.471,3132.000,4168.350,3164.871,4143.429,3974.150,2861.310,3048.156
55,3733.409,3443.327,3162.588,3171.615,4194.350,3163.581,4152.500,3956.900,2865.483,3053.062
56,3729.227,3453.000,3149.265,3164.885,4161.700,3173.677,4162.250,3911.350,2877.396,3069.094
57,3731.045,3468.961,3170.118,3155.692,4155.700,3169.387,4161.893,3958.250,2879.224,3049.125
58,3747.159,3441.192,3149.882,3150.769,4174.900,3157.936,4169.107,3957.750,2869.879,3032.688
59,3752.977,3449.500,3167.118,3176.539,4168.750,3155.936,4149.857,3959.350,2874.672,3054.500
60,3746.795,3455.481,3154.441,3131.885,4165.950,3160.419,4163.286,3949.850,2881.879,3051.062
61,3723.636,3447.365,3159.177,3136.577,4155.650,3180.258,4146.179,3927.750,2874.569,3041.312
62,3757.409,3460.827,3170.912,3141.231,4183.900,3156.452,4168.714,3934.050,2856.362,3037.625
63,3738.818,3460.692,3153.471,3155.961,4148.350,3165.290,4143.643,3959.650,2885.017,3038.031
64,3745.636,3477.904,3150.088,3143.654,4188.300,3158.613,4160.893,3958.900,2877.810,3045.781
65,3733.432,3446.846,3167.823,3165.346,4172.800,3179.806,4179.179,3959.150,2867.896,3056.031
66,3730.250,3451.711,3162.971,3165.923,4172.250,3170.516,4130.286,3971.900,2878.362,3052.781
67,3757.091,3460.308,3145.706,3138.500,4172.100,3160.742,4136.286,3931.650,2878.483,3050.031
68,3752.250,3451.058,3145.941,3152.000,4159.400,3168.677,4128.679,3939.900,2873.879,3053.469
69,3737.295,3465.961,3153.882,3157.808,4158.450,3161.161,4160.536,3936.550,2860.224,3040.062
70,3750.295,3450.096,3149.588,3159.808,4142.900,3164.871,4156.643,3961.750,2873.948,3050.344
71,3740.841,3462.000,3166.029,3150.308,4150.300,3175.806,4141.929,3952.600,2881.000,3046.375
72,3748.977,3464.154,3162.235,3136.192,4183.950,3148.032,4172.607,3964.150,2865.241,3040.000
73,3730.614,3439.154,3141.941,3154.115,4188.850,3177.548,4167.179,3936.750,2873.569,3077.719
74,3746.477,3458.346,3169.353,3144.731,4184.800,3163.355,4146.000,3962.650,2874.034,3046.344
75,3749.432,3453.231,3150.941,3155.808,4183.850,3160.839,4190.393,3968.650,2875.017,3059.875
76,3741.432,3448.596,3161.147,3140.423,4151.000,3171.936,4157.607,3911.850,2878.586,3063.594
77,3748.841,3470.461,3154.294,3144.808,4179.000,3167.839,4155.679,3956.200,2879.828,3042.719
78,3750.909,3461.404,3139.029,3156.769,4153.600,3159.323,4132.679,3969.550,2866.845,3039.406
79,3746.386,3443.769,3171.823,3153.154,4146.350,3153.323,4138.286,3905.550,2869.707,3066.594
80,3730.318,3435.404,3155.765,3164.500,4167.250,3159.323,4161.357,3978.850,2882.724,3047.156
81,3746.909,3463.115,3165.471,3123.077,4149.400,3168.097,4141.214,3959.300,2858.138,3056.469
82,3740.705,3451.539,3145.618,3138.461,4150.200,3146.516,4150.000,3929.350,2869.086,3052.250
83,3751.409,3452.077,3143.382,3149.654,4145.500,3164.194,4145.000,3946.400,2869.914,3055.969
84,3739.091,3456.442,3145.323,3128.731,4134.700,3171.355,4158.821,3931.050,2884.500,3060.344
85,3728.932,3461.904,3148.382,3139.539,4149.150,3176.323,4160.607,3974.600,2879.845,3042.594
86,3749.773,3458.404,3152.677,3158.308,4160.650,3187.581,4152.429,3977.300,2870.448,3048.344
87,3726.432,3447.423,3167.353,3158.115,4162.400,3171.645,4120.679,3955.350,2885.931,3046.688
88,3742.114,3448.115,3173.441,3151.039,4174.600,3170.484,4133.036,3950.550,2868.431,3070.875
89,3724.477,3455.981,3174.559,3132.000,4180.300,3167.323,4130.929,3938.000,2865.483,3043.625
90,3739.295,3466.981,3148.265,3160.077,4118.000,3155.194,4117.536,3964.850,2870.121,3043.500
91,3749.091,3437.885,3158.441,3147.461,4119.850,3181.968,4176.321,3975.850,2872.259,3049.969
