 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
1,4173.235,3055.500,4509.500,4660.125,4388.417,4236.812,4416.167,4344.921,4617.824,4566.773
2,4165.206,3052.573,4507.267,4636.140,4416.639,4217.982,4433.014,4368.274,4634.431,4574.977
3,4178.103,3055.260,4497.700,4643.118,4403.556,4234.902,4436.903,4364.627,4652.020,4573.182
4,4168.765,3042.844,4500.167,4624.096,4410.056,4231.348,4422.431,4364.294,4628.726,4554.795
5,4169.147,3047.865,4494.217,4634.890,4413.972,4227.544,4416.778,4368.216,4632.039,4564.886
6,4177.926,3053.896,4499.733,4642.213,4398.611,4225.804,4439.167,4363.902,4626.765,4581.841
7,4179.632,3047.448,4515.533,4649.603,4393.250,4233.714,4439.472,4374.921,4618.726,4568.273
8,4176.471,3058.698,4513.083,4638.875,4387.417,4231.571,4416.778,4362.000,4634.274,4566.614
9,4175.412,3056.635,4528.067,4642.265,4408.528,4230.250,4421.389,4357.706,4618.137,4585.000
10,4170.691,3050.854,4527.017,4633.544,4436.139,4236.598,4431.944,4346.392,4633.726,4563.068
11,4175.868,3045.844,4506.317,4640.125,4406.944,4231.018,4429.778,4357.196,4618.373,4556.477
12,4192.441,3053.344,4519.933,4644.728,4411.111,4226.554,4442.792,4347.333,4623.706,4588.318
13,4175.456,3057.292,4501.400,4632.419,4431.111,4224.206,4418.639,4368.824,4619.274,4570.386
14,4179.809,3052.354,4502.467,4642.787,4425.556,4228.527,4422.528,4359.000,4629.902,4560.477
15,4162.471,3057.250,4509.967,4626.103,4423.250,4241.812,4435.611,4368.882,4636.412,4547.136
16,4163.132,3041.677,4489.683,4629.551,4410.361,4233.339,4412.736,4369.941,4630.490,4589.182
17,4163.044,3055.458,4482.917,4644.963,4453.611,4226.179,4392.472,4353.627,4620.745,4577.727
18,4181.309,3048.260,4515.867,4635.853,4405.389,4236.446,4411.444,4356.706,4616.000,4556.682
19,4178.985,3040.667,4516.183,4640.375,4411.972,4224.081,4443.139,4369.647,4632.098,4580.182
20,4178.368,3051.990,4506.050,4629.522,4384.000,4237.429,4421.861,4356.059,4629.824,4588.614
21,4185.250,3044.708,4503.883,4645.081,4412.194,4235.973,4423.278,4368.157,4632.392,4572.386
22,4183.647,3046.562,4509.083,4650.691,4409.528,4221.571,4413.486,4361.216,4649.745,4577.773
23,4182.544,3043.906,4503.817,4646.029,4413.972,4243.366,4424.556,4344.274,4624.490,4551.523
24,4145.000,3052.917,4499.817,4641.324,4432.278,4231.839,4414.389,4377.549,4613.000,4579.273
25,4167.221,3044.927,4493.400,4632.390,4431.750,4228.911,4421.458,4358.647,4607.510,4580.273
26,4173.603,3056.792,4503.350,4635.493,4438.833,4218.759,4392.042,4369.961,4618.314,4574.932
27,4160.088,3053.240,4507.433,4638.206,4428.611,4241.821,4437.889,4358.745,4610.000,4576.773
28,4178.588,3051.562,4486.133,4638.537,4394.500,4219.536,4409.444,4388.020,4638.627,4570.250
29,4172.353,3053.521,4524.567,4648.647,4420.500,4232.044,4397.903,4378.490,4625.863,4559.705
30,4171.147,3052.875,4501.200,4641.676,4415.722,4231.982,4431.764,4339.039,4640.373,4571.295
31,4161.559,3046.521,4514.033,4657.537,4412.028,4222.473,4430.889,4335.196,4631.039,4562.636
32,4176.441,3057.469,4503.617,4652.882,4420.361,4240.991,4408.431,4372.510,4626.745,4575.841
33,4162.985,3052.198,4520.283,4650.037,4451.250,4241.500,4428.736,4383.569,4631.843,4586.023
34,4174.191,3043.594,4490.683,4644.140,4421.972,4216.348,4414.111,4341.431,4628.824,4547.909
35,4163.559,3048.375,4500.033,4654.228,4422.667,4221.196,4419.264,4381.882,4604.255,4544.205
36,4169.441,3057.656,4497.950,4641.324,4427.333,4232.223,4407.458,4346.647,4623.000,4545.864
