 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16
1,3279.386,3153.861,3453.389,4295.692,4348.344,4436.664,4418.101,4477.525,4432.638,4458.932,4395.662,4191.750,4176.344,4214.337,4195.663,3784.748
2,3284.830,3119.833,3447.056,4274.192,4327.312,4413.205,4414.709,4477.100,4468.447,4463.727,4397.500,4193.477,4158.062,4205.038,4203.268,3784.591
3,3289.034,3152.500,3426.694,4251.923,4337.719,4437.898,4415.886,4474.337,4452.873,4435.205,4413.912,4204.830,4170.812,4218.938,4186.302,3780.887
4,3286.341,3117.806,3453.028,4259.077,4343.438,4433.051,4436.899,4471.925,4462.511,4463.341,4405.559,4201.977,4186.000,4220.888,4181.593,3780.826
5,3266.364,3141.944,3425.583,4281.692,4345.656,4435.861,4397.797,4469.388,4454.979,4463.477,4419.912,4202.580,4158.656,4200.025,4189.140,3790.296
6,3294.580,3141.750,3443.750,4258.461,4346.719,4424.066,4423.177,4469.300,4452.958,4442.841,4406.206,4187.500,4197.688,4200.913,4189.709,3786.078
7,3281.727,3155.917,3442.306,4255.231,4338.359,4428.905,4422.595,4478.650,4467.234,4449.545,4413.176,4194.761,4184.625,4208.337,4203.198,3781.052
8,3279.273,3130.278,3438.806,4277.346,4342.562,4432.139,4435.658,4486.550,4452.660,4458.273,4393.309,4189.977,4174.938,4194.112,4186.070,3781.896
9,3283.886,3157.000,3425.917,4297.154,4348.156,4435.233,4414.101,4458.638,4458.064,4451.409,4392.603,4194.977,4192.219,4208.087,4171.500,3783.513
10,3278.239,3155.083,3423.750,4283.961,4327.391,4431.978,4423.747,4484.475,4450.489,4473.318,4403.603,4207.682,4152.469,4194.050,4200.104,3784.270
11,3284.318,3115.889,3442.750,4247.423,4346.750,4440.161,4434.785,4479.163,4466.596,4454.273,4412.912,4206.875,4174.062,4206.812,4192.384,3790.870
12,3281.295,3122.250,3436.444,4284.308,4326.203,4426.686,4423.772,4468.362,4440.894,4439.023,4407.176,4196.011,4204.219,4204.612,4179.535,3785.296
13,3280.193,3119.194,3436.722,4273.000,4345.453,4424.898,4423.696,4466.413,4445.915,4448.159,4400.971,4190.636,4168.969,4197.975,4192.291,3792.304
14,3286.784,3138.167,3448.639,4286.577,4338.375,4429.730,4424.848,4465.612,4442.340,4463.591,4401.044,4214.477,4171.188,4202.025,4186.896,3786.800
15,3283.773,3117.083,3440.722,4274.461,4345.875,4435.153,4434.468,4473.638,4442.170,4445.432,4398.191,4226.489,4184.656,4197.812,4187.104,3773.139
