 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14
1,3206.727,3110.556,4433.364,4017.121,3816.192,3315.886,3999.000,3032.875,4240.000,4552.600,4500.143,4408.000,4181.656,4405.000
2,3208.636,3107.444,4485.636,4042.483,3806.846,3348.477,4070.500,3033.500,4214.500,4592.200,4529.381,4399.190,4201.531,4405.750
3,3199.182,3105.667,4453.364,4045.914,3811.885,3342.545,4032.000,3032.375,4202.000,4530.300,4493.524,4418.429,4185.281,4355.375
4,3217.909,3133.889,4454.182,4048.483,3797.192,3319.159,3999.250,3029.875,4251.500,4513.400,4516.190,4386.286,4191.562,4363.250
5,3215.636,3119.111,4442.182,4034.638,3799.461,3330.159,4023.000,2989.250,4242.000,4516.100,4475.000,4365.762,4213.062,4390.750
6,3204.909,3093.333,4439.455,4039.690,3804.692,3335.045,3947.500,2999.625,4304.500,4532.600,4528.905,4396.286,4207.469,4356.375
7,3217.909,3106.444,4452.636,4016.983,3790.423,3331.341,3976.250,3029.625,4239.500,4531.800,4503.571,4398.190,4186.094,4428.000
8,3237.364,3130.667,4467.636,4023.293,3801.885,3323.909,4035.250,2973.750,4164.500,4546.100,4510.524,4413.333,4196.812,4336.875
9,3194.364,3120.778,4459.545,4010.448,3778.385,3310.500,3931.750,2962.000,4206.500,4596.600,4500.571,4396.048,4210.500,4377.000
10,3231.273,3090.000,4405.182,4024.759,3789.808,3318.500,3928.500,2968.625,4209.500,4575.400,4505.429,4396.810,4204.656,4397.625
11,3238.091,3094.333,4451.636,4026.914,3811.961,3336.500,3928.750,3024.250,4258.500,4510.300,4497.667,4375.333,4192.344,4397.625
12,3216.818,3078.889,4387.182,4031.190,3795.577,3326.682,3940.250,3016.375,4314.000,4532.100,4489.571,4388.286,4202.969,4400.750
13,3192.000,3155.333,4406.455,4048.845,3828.461,3320.318,3938.250,2995.250,4191.000,4511.500,4462.905,4379.476,4197.688,4367.875
14,3238.000,3086.778,4412.545,4051.121,3770.039,3323.523,3936.250,3035.750,4302.500,4535.300,4485.000,4386.714,4202.156,4399.875
15,3209.909,3096.667,4409.364,4032.931,3804.192,3341.250,4034.250,2992.250,4160.500,4529.100,4493.048,4407.429,4203.094,4334.875
16,3234.636,3080.778,4412.182,4011.448,3800.461,3341.477,3916.750,3000.000,4213.000,4547.700,4491.381,4370.048,4222.656,4434.125
17,3235.909,3122.889,4402.818,4033.793,3825.461,3338.977,3984.000,3003.125,4172.000,4541.400,4453.524,4342.905,4217.781,4356.875
18,3192.545,3074.000,4409.273,4037.190,3831.846,3322.773,3928.750,3047.875,4336.000,4526.500,4497.095,4382.190,4203.750,4383.750
19,3210.273,3088.333,4402.182,4033.672,3782.154,3315.795,3997.500,3025.500,4259.500,4543.800,4503.857,4366.714,4225.156,4346.375
20,3187.182,3078.000,4393.818,4052.776,3793.654,3324.250,3939.500,2980.625,4210.500,4498.400,4473.381,4378.333,4192.500,4375.625
21,3235.000,3071.111,4402.364,4035.672,3808.077,3326.727,3979.500,3027.875,4309.000,4551.200,4496.190,4398.000,4205.969,4356.250
22,3224.455,3092.111,4443.909,4023.155,3807.192,3322.795,3952.500,3022.750,4283.500,4511.000,4477.476,4389.952,4197.875,4359.500
23,3230.909,3100.333,4395.545,4033.845,3807.961,3339.409,3946.500,2976.000,4225.000,4515.200,4481.810,4376.857,4171.094,4366.625
24,3197.727,3129.000,4419.000,4012.138,3806.000,3329.068,3949.500,3032.500,4302.500,4503.900,4463.095,4394.476,4186.531,4370.500
25,3221.455,3095.222,4395.727,4028.966,3789.077,3312.750,3853.250,3012.250,4078.000,4503.500,4452.762,4367.714,4210.938,4365.250
26,3232.273,3082.778,4371.364,4051.379,3829.308,3328.568,3932.250,2990.125,4122.500,4536.600,4489.286,4412.714,4199.688,4334.625
27,3217.000,3051.889,4367.091,4043.931,3806.539,3315.295,3900.250,3007.750,4262.000,4571.400,4504.524,4380.667,4192.750,4397.375
28,3199.000,3124.667,4408.909,4032.931,3776.269,3331.091,3910.750,3029.000,4296.500,4503.600,4471.476,4382.286,4194.750,4349.250
29,3232.727,3113.333,4386.000,4019.466,3779.423,3318.750,3930.250,2994.375,4217.000,4528.400,4493.190,4386.714,4193.188,4355.500
30,3218.455,3113.556,4409.091,4020.621,3791.461,3343.432,3947.000,2989.375,4285.000,4565.500,4476.667,4380.619,4220.469,4351.625
31,3192.182,3081.556,4432.455,4016.104,3792.692,3326.773,3975.000,3011.125,4289.000,4551.100,4501.048,4335.095,4179.000,4448.250
32,3178.455,3080.667,4398.909,4010.086,3789.039,3325.250,3956.000,3019.125,4278.000,4548.200,4502.143,4375.524,4166.844,4358.750
33,3247.727,3085.111,4437.818,4014.138,3830.577,3333.159,3943.500,2992.000,4240.500,4528.300,4442.857,4363.476,4188.469,4353.875
34,3214.364,3090.222,4400.727,4030.672,3789.500,3320.864,4017.750,3012.875,4291.000,4538.400,4501.810,4367.095,4188.719,4267.750
35,3198.273,3107.111,4362.818,4010.586,3778.077,3339.250,3966.750,3050.750,4284.000,4555.000,4483.476,4365.476,4196.281,4351.000
36,3202.455,3073.333,4419.636,4005.828,3806.731,3316.682,3955.250,3035.750,4280.500,4529.100,4457.714,4407.190,4213.031,4379.875
37,3203.545,3089.111,4385.727,4023.069,3800.423,3302.364,3985.000,2999.875,4157.000,4558.400,4476.381,4389.429,4203.656,4378.125
38,3213.455,3123.444,4356.000,4037.431,3790.385,3326.614,3982.500,2996.000,4302.500,4550.700,4515.238,4364.571,4197.281,4382.125
