 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11
1,3202.581,3734.400,4031.273,3449.125,3972.611,4206.958,3313.048,3418.192,3820.581,3993.905,4491.824
2,3179.194,3736.000,4020.455,3473.917,3951.639,4158.292,3311.619,3407.846,3839.903,4010.667,4479.559
3,3205.097,3752.750,4037.909,3484.625,3961.750,4215.250,3288.048,3422.346,3829.774,4006.667,4502.618
4,3173.871,3712.500,4020.000,3460.625,3954.528,4163.292,3303.190,3427.615,3832.387,3978.905,4491.559
5,3177.516,3699.850,4022.364,3467.458,3953.833,4206.250,3307.428,3381.692,3816.806,4027.381,4478.647
6,3163.839,3729.450,4089.727,3479.667,3979.306,4194.083,3308.381,3404.461,3844.194,3986.857,4492.176
7,3195.097,3734.550,4040.273,3483.917,3947.944,4179.375,3318.905,3410.808,3825.613,4008.381,4499.676
8,3205.613,3735.700,4080.364,3468.167,3985.167,4201.667,3327.000,3415.115,3820.258,4012.428,4504.088
9,3192.806,3694.900,4068.818,3466.417,3972.778,4193.417,3322.667,3410.192,3792.452,3997.238,4466.735
10,3197.839,3749.150,4045.455,3487.125,3986.667,4206.500,3320.095,3418.346,3813.323,3995.524,4459.412
11,3197.097,3753.000,4042.091,3449.917,3957.028,4190.333,3291.381,3423.308,3811.774,4010.095,4468.412
12,3191.194,3730.000,4045.545,3432.708,3978.000,4189.792,3319.762,3416.692,3811.613,4010.524,4488.971
13,3179.839,3737.950,4064.727,3490.750,3976.444,4147.750,3311.714,3414.769,3801.194,4029.048,4485.794
14,3166.097,3717.050,4088.545,3484.792,3961.472,4189.875,3326.952,3405.500,3844.097,4025.048,4476.912
15,3189.613,3757.800,4034.909,3468.750,3974.444,4189.292,3299.333,3412.269,3861.936,3990.428,4494.088
16,3219.548,3756.900,4044.182,3469.583,3968.222,4211.625,3332.381,3398.885,3809.226,3999.048,4468.471
17,3186.000,3725.950,4005.545,3453.292,3988.861,4205.958,3321.000,3406.692,3827.290,3995.667,4495.294
18,3192.710,3728.000,4026.182,3469.333,3974.000,4177.875,3318.905,3411.423,3840.387,3991.905,4474.265
19,3189.871,3735.200,4074.091,3444.792,3952.556,4202.792,3316.000,3423.731,3822.323,4013.572,4481.676
20,3188.161,3717.000,4050.636,3448.583,3976.694,4211.750,3327.952,3399.769,3838.645,3983.952,4493.676
21,3190.323,3759.400,4037.727,3433.208,3967.778,4227.542,3306.905,3435.077,3838.742,3954.238,4497.471
22,3166.484,3733.800,4072.273,3449.208,3956.472,4212.000,3301.762,3415.346,3802.129,3982.810,4523.912
23,3182.806,3745.250,4097.182,3451.167,3936.222,4178.417,3302.190,3408.885,3814.710,3972.286,4442.382
24,3199.129,3771.400,4033.818,3481.458,3965.556,4182.708,3342.619,3406.769,3823.484,3979.048,4506.471
25,3192.064,3787.350,4014.364,3461.333,3981.806,4212.625,3306.762,3416.961,3817.097,3977.000,4490.059
26,3199.484,3731.850,4076.909,3448.417,3950.583,4178.625,3307.286,3415.385,3824.839,3988.714,4498.824
27,3181.548,3747.600,4012.455,3450.958,3974.778,4175.917,3301.333,3428.115,3853.419,3961.286,4482.176
28,3180.387,3744.450,4023.000,3449.833,3970.111,4193.875,3319.476,3408.461,3809.161,3969.952,4488.353
29,3194.742,3728.450,4077.545,3454.208,3983.694,4186.667,3297.381,3417.577,3844.839,3985.572,4504.676
30,3206.355,3738.150,4027.727,3445.458,3963.556,4200.042,3315.524,3426.577,3841.419,3974.476,4510.853
31,3197.290,3742.600,4032.273,3435.417,3992.389,4207.833,3328.857,3405.423,3840.097,3952.619,4497.588
32,3183.806,3735.900,4052.909,3439.792,3971.389,4207.125,3289.905,3437.846,3827.419,3974.286,4460.794
33,3198.290,3751.850,4072.818,3453.625,3988.306,4192.458,3296.428,3434.731,3827.548,3994.048,4482.412
34,3206.452,3722.050,4046.727,3479.167,3980.000,4183.125,3300.095,3421.154,3828.258,3954.905,4489.618
35,3209.194,3745.050,4095.727,3479.208,3975.972,4226.917,3289.762,3395.615,3827.710,4033.238,4507.794
36,3201.871,3724.800,4009.455,3447.625,3983.944,4212.875,3328.095,3403.154,3844.000,3993.095,4469.000
37,3191.387,3709.750,4045.727,3443.458,3971.861,4206.750,3289.333,3417.923,3845.387,3998.048,4492.765
38,3203.742,3739.100,4055.273,3449.167,3988.611,4152.042,3310.572,3417.346,3823.871,4017.143,4510.118
39,3177.742,3740.750,4051.909,3442.500,3966.778,4196.542,3307.714,3422.115,3837.742,4002.381,4506.706
40,3184.000,3729.500,4035.091,3462.417,3971.750,4174.917,3340.905,3416.192,3826.452,4025.905,4488.941
41,3204.774,3767.150,4053.545,3463.000,3972.111,4214.208,3316.905,3417.654,3851.936,4008.190,4495.735
42,3209.452,3759.700,4045.545,3468.292,3981.139,4195.583,3331.810,3442.461,3826.806,3997.381,4494.118
43,3176.903,3747.250,4047.455,3470.375,3983.528,4195.000,3319.286,3406.346,3818.194,3970.952,4505.118
44,3196.871,3745.550,4050.091,3464.917,3964.667,4192.708,3320.857,3398.385,3854.097,3989.190,4476.559
45,3193.226,3726.200,4072.818,3450.208,4004.333,4189.708,3321.714,3427.461,3828.548,3971.952,4495.882
46,3162.677,3747.300,4031.455,3450.833,3972.000,4190.958,3317.857,3411.500,3824.710,4005.286,4492.412
47,3174.677,3730.000,4043.545,3452.083,3956.194,4221.083,3331.762,3401.923,3814.323,3967.524,4497.941
48,3180.387,3743.400,4046.182,3451.000,3973.611,4193.250,3310.095,3415.423,3829.097,4014.667,4490.412
49,3193.258,3725.600,4064.091,3434.333,3976.750,4215.833,3327.428,3386.885,3861.129,4016.714,4480.147
50,3198.516,3732.100,4055.000,3445.292,3966.611,4200.750,3292.714,3430.539,3836.032,4005.762,4464.559
51,3183.161,3742.050,4089.818,3473.167,3988.528,4180.417,3344.476,3422.039,3827.968,4039.572,4489.706
52,3183.452,3739.800,4066.818,3446.792,3983.861,4184.958,3299.762,3404.885,3838.161,4010.190,4503.882
53,3182.258,3740.100,4070.727,3472.000,3972.639,4208.792,3336.667,3401.577,3815.064,4002.428,4485.176
54,3189.742,3748.900,4058.455,3480.792,3977.528,4202.500,3308.857,3398.346,3843.581,3989.381,4496.882
55,3195.710,3762.900,4022.455,3449.250,3952.917,4212.333,3314.000,3407.769,3835.258,3973.286,4478.676
56,3190.645,3745.300,4068.182,3438.042,3970.556,4193.792,3303.762,3426.461,3834.903,3968.143,4473.029
57,3184.516,3759.600,4079.455,3436.958,3963.389,4183.042,3312.286,3410.385,3849.581,3989.286,4469.647
58,3180.774,3736.050,4067.182,3421.250,3986.833,4218.333,3318.095,3436.385,3837.323,3982.428,4495.882
59,3195.129,3737.250,4062.818,3442.625,3973.167,4227.042,3322.619,3445.654,3839.936,3952.619,4510.588
60,3182.613,3744.750,4085.545,3451.333,3976.000,4193.250,3324.286,3431.308,3828.774,4006.572,4486.853
61,3181.613,3729.000,4044.091,3464.958,3961.500,4180.500,3350.572,3399.731,3834.677,3980.952,4496.265
62,3182.000,3730.500,4038.182,3483.542,3956.389,4181.750,3321.905,3413.577,3830.258,3987.333,4496.206
63,3191.323,3775.650,4030.091,3432.500,3982.611,4223.750,3307.048,3431.346,3836.581,3980.286,4496.647
64,3203.484,3748.200,4064.364,3464.708,3977.583,4190.375,3333.238,3413.846,3828.839,4005.476,4496.471
65,3176.936,3746.700,4060.273,3460.708,3980.222,4206.208,3326.190,3405.923,3845.064,3986.190,4481.824
66,3166.548,3704.000,4033.909,3470.417,3993.028,4199.125,3316.905,3413.846,3808.677,3982.952,4491.353
67,3208.032,3774.400,4050.545,3437.125,3981.500,4194.917,3339.095,3417.885,3810.742,4035.428,4476.176
68,3186.677,3733.150,4029.273,3445.042,3973.917,4192.333,3324.238,3461.308,3833.871,3993.810,4504.000
69,3179.323,3738.550,4067.909,3442.792,3981.528,4188.750,3329.572,3412.385,3823.290,3995.905,4476.824
70,3192.548,3735.750,4034.273,3470.042,3977.583,4207.833,3330.333,3424.769,3816.323,3982.381,4518.676
71,3191.484,3718.850,4019.455,3439.500,3947.167,4185.125,3325.000,3441.500,3845.839,3991.714,4493.529
72,3199.516,3737.250,4101.182,3466.500,3970.389,4209.167,3350.714,3430.500,3839.516,3990.619,4517.265
73,3181.774,3749.200,4101.273,3454.125,3976.083,4190.667,3334.333,3425.808,3834.129,4003.238,4485.853
74,3189.581,3764.100,4050.364,3441.625,3974.083,4182.792,3327.190,3430.115,3818.129,4009.000,4499.853
75,3186.839,3753.750,4047.182,3459.167,3974.500,4200.208,3315.762,3404.577,3822.290,3997.857,4500.676
76,3205.419,3721.850,4021.545,3449.292,3955.278,4191.833,3315.572,3428.192,3828.290,4007.714,4498.088
77,3176.806,3748.450,4064.636,3434.125,3982.278,4208.833,3321.381,3414.692,3835.452,4014.810,4501.618
78,3183.936,3746.600,4053.727,3433.625,3979.611,4198.500,3316.333,3431.692,3831.129,3993.619,4465.059
79,3164.355,3725.200,4019.000,3435.792,3974.194,4183.667,3338.476,3416.231,3825.742,4050.095,4489.529
80,3192.194,3711.100,4075.364,3448.625,3957.861,4218.083,3311.762,3443.961,3832.290,4027.381,4521.088
81,3180.581,3725.600,4041.273,3443.542,3980.861,4184.167,3319.952,3416.385,3809.871,4021.476,4499.412
82,3193.290,3755.400,4049.273,3447.625,3978.694,4190.542,3335.238,3431.346,3856.161,4022.190,4513.971
83,3175.806,3747.850,4077.636,3429.917,3971.333,4200.417,3301.238,3441.500,3830.645,4000.619,4481.853
84,3186.194,3760.300,4083.727,3437.208,3985.083,4207.792,3317.667,3429.692,3820.064,3997.714,4473.441
85,3185.484,3742.300,4068.909,3462.708,3978.278,4204.750,3298.952,3435.192,3829.774,4025.667,4480.176
86,3180.645,3748.850,4001.909,3454.667,3977.194,4217.333,3353.714,3417.846,3859.194,3994.667,4489.824
87,3162.710,3732.750,4018.000,3439.917,3968.806,4209.000,3321.095,3402.231,3828.936,4022.762,4494.412
88,3186.355,3726.500,4071.182,3439.583,3972.639,4194.292,3329.810,3453.615,3809.355,4073.667,4482.941
89,3197.194,3736.450,4039.273,3459.583,3973.833,4203.333,3311.667,3415.539,3851.194,4011.238,4510.176
90,3168.064,3760.500,4027.091,3423.958,3988.444,4224.792,3308.238,3420.923,3831.903,4019.238,4488.441
91,3197.742,3712.350,4067.000,3424.250,3965.472,4194.667,3343.714,3444.423,3820.419,4013.333,4501.912
92,3186.677,3718.000,3994.455,3431.333,3960.528,4212.042,3310.572,3454.000,3819.742,4041.000,4515.706
93,3193.387,3777.550,4039.000,3455.375,3960.111,4203.875,3352.572,3430.731,3838.774,4035.381,4514.147
94,3196.871,3733.750,4073.182,3425.417,3952.250,4228.042,3338.381,3413.808,3826.000,4048.952,4502.882
95,3185.710,3745.000,4053.545,3459.500,3979.639,4221.792,3347.000,3430.808,3836.032,4010.286,4476.059
96,3185.613,3759.700,4032.727,3466.917,3983.417,4155.958,3313.095,3436.846,3839.290,4041.762,4507.500
97,3196.064,3760.400,4025.000,3434.708,3977.250,4187.792,3303.333,3450.500,3842.516,4066.238,4511.971
98,3171.968,3742.550,4033.000,3464.375,3961.167,4210.083,3338.000,3421.731,3853.323,4078.905,4531.088
99,3186.032,3740.450,4054.364,3472.500,3983.333,4226.167,3328.333,3422.769,3831.677,4087.714,4516.176
100,3170.806,3738.050,4074.545,3451.458,3972.861,4185.000,3311.428,3434.961,3835.581,4087.286,4543.324
101,3178.000,3742.500,4062.636,3436.417,4003.389,4205.375,3306.952,3433.269,3825.129,4073.000,4510.059
102,3190.936,3753.900,4031.000,3443.917,3956.472,4234.167,3333.572,3414.961,3841.710,4074.238,4507.441
103,3188.516,3765.700,4061.636,3441.792,3964.583,4228.500,3303.572,3442.308,3834.290,4082.286,4509.265
104,3172.097,3747.950,4072.364,3450.667,3976.139,4230.083,3295.143,3413.192,3826.936,4062.619,4496.971
105,3195.129,3754.600,4020.364,3464.708,3986.528,4218.833,3310.476,3439.077,3827.064,4090.619,4489.941
106,3167.064,3711.300,4099.727,3419.083,3967.528,4195.625,3293.143,3417.231,3824.839,4049.000,4513.853
107,3193.871,3754.200,4072.818,3447.167,3986.583,4213.917,3314.000,3433.115,3855.968,4030.572,4509.559
108,3245.129,3752.750,4070.909,3458.042,3997.444,4213.292,3344.381,3466.269,3861.516,4037.143,4517.618
109,3245.387,3774.450,4123.364,3440.000,3985.139,4214.417,3369.572,3454.654,3877.548,4011.857,4521.529
110,3277.839,3778.000,4145.636,3464.333,4072.944,4205.667,3381.286,3531.192,3911.064,4020.333,4513.618
111,3309.000,3822.350,4225.182,3499.375,4068.083,4230.500,3433.667,3629.385,3971.129,3973.095,4513.853
112,3331.387,3931.900,4341.545,3508.792,4147.861,4211.917,3462.857,3840.231,4032.516,4028.286,4544.471
113,3418.548,3955.750,4375.636,3552.625,4179.917,4245.292,3559.857,4008.885,4165.903,4021.286,4545.559
114,3502.581,4084.300,4421.455,3602.917,4235.472,4235.500,3640.524,4147.923,4273.968,4008.238,4559.559
115,3623.387,4235.300,4458.000,3653.833,4283.389,4248.708,3712.286,4251.846,4446.323,4006.572,4578.765
116,3801.968,4382.450,4541.091,3730.042,4327.361,4258.958,3808.333,4338.231,4590.903,3988.238,4609.912
117,4007.258,4587.050,4603.091,3802.792,4376.917,4265.375,3869.810,4420.577,4738.387,4021.000,4654.412
118,4206.839,4775.600,4623.182,3892.417,4416.944,4280.333,3942.619,4491.077,4850.774,4065.667,4683.588
119,4394.226,4879.150,4677.727,4021.958,4443.778,4360.542,4052.048,4548.885,4909.355,4140.762,4700.824
120,4647.968,5039.750,4714.909,4122.208,4526.250,4453.542,4131.381,4641.385,5021.387,4283.667,4754.794
121,4822.742,5105.000,4781.182,4255.083,4597.028,4510.792,4155.238,4686.808,5130.677,4363.571,4785.118
122,5044.258,5107.800,4926.545,4380.417,4616.639,4596.250,4220.000,4750.192,5168.516,4566.762,4828.147
123,5243.387,5157.650,5042.545,4496.917,4690.056,4703.125,4259.810,4792.808,5205.484,4721.000,4843.735
124,5379.323,5179.000,5148.727,4641.458,4738.889,4797.625,4282.667,4821.615,5251.064,4950.762,4859.559
125,5548.355,5174.850,5255.000,4761.458,4779.694,4883.333,4323.524,4863.000,5280.871,5195.381,4907.265
126,5706.645,5204.500,5385.727,4907.667,4837.722,4919.875,4346.048,4911.385,5269.709,5356.571,4997.382
127,5784.581,5258.050,5585.545,5070.292,4827.694,4952.875,4414.714,4913.808,5300.871,5497.238,5006.265
128,5864.161,5273.700,5664.636,5217.250,4921.500,4989.875,4385.333,4956.000,5324.709,5532.810,5017.618
129,5955.097,5299.900,5767.636,5425.250,4940.611,5068.125,4403.190,4954.539,5334.903,5602.524,5028.441
130,5979.839,5332.250,5816.455,5565.500,5005.222,5036.458,4399.857,4975.654,5351.291,5590.381,5030.500
131,6079.548,5358.950,5899.182,5732.000,5017.500,5065.000,4426.952,4995.654,5384.709,5645.333,5075.529
132,6139.032,5329.750,5906.545,5866.458,5063.722,5089.708,4460.333,5050.423,5363.419,5658.714,5062.000
133,6163.323,5355.800,5940.636,6024.625,5093.917,5109.250,4411.571,5015.115,5338.291,5667.952,5106.118
134,6173.903,5360.950,5970.455,6140.458,5168.361,5116.083,4437.000,5018.769,5353.000,5678.286,5096.500
135,6222.323,5352.550,5996.545,6266.917,5160.361,5111.083,4468.905,5012.000,5342.968,5631.143,5157.000
136,6241.613,5346.550,6048.000,6397.625,5221.806,5085.833,4413.619,5017.577,5373.839,5647.000,5135.529
137,6226.774,5369.700,6057.909,6425.667,5187.222,5056.750,4410.190,5049.077,5387.807,5658.667,5156.147
138,6268.226,5401.600,6033.909,6609.292,5260.139,5052.333,4507.286,5071.000,5353.355,5653.619,5154.529
139,6252.419,5443.700,6101.091,6673.500,5296.722,5065.667,4482.238,5035.692,5369.774,5707.905,5122.471
140,6287.226,5450.850,6075.273,6690.583,5326.167,5031.000,4451.952,5026.731,5344.193,5636.476,5156.794
141,6292.323,5474.050,6050.364,6809.417,5356.333,5039.625,4474.810,5028.692,5379.968,5651.810,5145.029
142,6278.355,5486.600,6060.091,6855.917,5361.250,5026.625,4467.476,5068.692,5357.516,5668.000,5109.765
143,6345.516,5499.900,6067.455,6955.625,5390.694,5029.500,4473.286,5011.731,5346.291,5611.143,5085.029
144,6303.258,5529.350,6124.273,6984.167,5438.000,4996.500,4468.429,5049.961,5391.807,5629.667,5095.853
145,6340.968,5543.350,6117.818,6965.458,5447.639,4984.000,4471.952,5006.692,5383.774,5590.381,5066.794
146,6335.161,5520.350,6128.545,7009.875,5450.806,4961.833,4462.429,5035.692,5436.291,5625.810,5086.147
147,6355.677,5553.800,6081.091,7088.125,5465.556,4980.542,4522.571,5054.231,5354.129,5592.905,5045.382
148,6318.000,5606.400,6110.273,7079.917,5526.972,4965.417,4480.000,5055.077,5399.613,5646.762,5039.353
149,6316.968,5567.000,6096.636,7046.000,5506.250,4950.000,4495.238,5055.539,5392.936,5627.476,5012.265
150,6335.097,5648.450,6095.636,7110.833,5502.278,4959.708,4479.952,5059.769,5362.032,5634.667,5037.912
151,6377.613,5593.800,6096.455,7095.458,5537.889,4897.208,4523.048,5069.923,5387.387,5623.000,5050.559
152,6312.032,5643.850,6068.182,7100.833,5551.944,4911.625,4487.333,5062.500,5364.419,5633.190,5060.471
153,6329.129,5629.900,6078.545,7147.042,5582.500,4893.917,4493.381,5053.577,5378.613,5647.000,5087.059
154,6387.452,5680.300,6170.091,7170.542,5607.139,4878.083,4454.190,5058.385,5363.000,5617.524,5090.294
155,6368.064,5640.900,6078.545,7182.667,5616.750,4904.083,4470.333,5026.885,5377.903,5639.571,5084.000
156,6352.613,5700.850,6131.818,7133.542,5604.917,4918.958,4508.190,5062.231,5389.258,5618.905,5073.971
157,6325.258,5688.450,6127.636,7177.417,5599.750,4891.750,4483.190,5073.885,5407.323,5661.381,5076.971
158,6335.161,5719.750,6084.364,7152.750,5620.444,4858.125,4492.667,5049.077,5392.613,5637.048,5083.588
159,6354.839,5754.900,6079.091,7177.792,5634.917,4856.125,4467.524,5025.961,5380.064,5637.619,5054.118
160,6372.548,5781.450,6085.364,7181.083,5636.444,4882.750,4496.048,5069.654,5425.452,5661.857,5072.088
161,6323.645,5768.300,6061.545,7224.875,5657.500,4881.292,4486.714,5055.885,5396.452,5642.762,5045.971
162,6357.258,5770.050,6065.909,7178.458,5669.222,4843.458,4499.143,5063.692,5409.355,5610.714,5040.971
163,6345.064,5798.000,6092.000,7214.333,5683.722,4846.583,4500.667,5027.000,5397.774,5663.714,5020.265
164,6352.774,5780.750,6105.182,7180.125,5699.028,4859.458,4525.095,5091.885,5361.742,5616.000,5007.765
165,6346.161,5833.950,6098.364,7210.375,5668.556,4830.750,4497.000,5059.539,5371.452,5652.381,5005.971
166,6379.548,5846.950,6104.818,7179.917,5684.278,4843.375,4495.286,5053.769,5373.419,5591.810,4983.853
167,6378.032,5840.000,6093.091,7200.000,5681.833,4796.875,4491.524,5076.923,5384.871,5623.190,4984.412
168,6360.193,5831.600,6067.909,7203.625,5681.444,4844.042,4507.476,5061.961,5368.709,5635.476,4990.118
169,6391.709,5841.450,6109.818,7204.708,5706.472,4829.958,4502.571,5062.961,5350.936,5654.143,4985.000
170,6347.193,5866.100,6039.909,7122.500,5723.000,4801.458,4491.476,5057.692,5396.581,5641.333,4980.647
171,6330.452,5904.950,6099.273,7214.333,5710.500,4812.625,4507.905,5033.039,5369.484,5624.143,4957.441
172,6331.387,5894.950,6082.000,7220.792,5734.194,4817.417,4497.381,5086.769,5376.097,5657.524,4981.324
173,6351.936,5941.700,6057.000,7197.875,5759.528,4777.250,4476.952,5070.346,5363.000,5686.476,4970.324
174,6354.355,5956.250,6119.000,7168.083,5723.917,4798.625,4505.714,5082.615,5391.774,5640.571,4962.324
