 ,Mean1,Mean2,Mean3,Mean4,Mean5
1,3297.459,3323.812,2903.461,3125.562,3675.400
2,3297.649,3328.688,2902.885,3125.031,3689.350
3,3303.811,3364.000,2899.327,3117.562,3681.000
4,3308.270,3350.656,2906.981,3132.219,3687.100
5,3322.594,3326.375,2909.289,3131.906,3698.950
6,3336.054,3348.812,2907.289,3134.438,3707.550
7,3320.216,3344.188,2896.711,3135.250,3679.150
8,3329.568,3344.188,2910.673,3121.219,3690.450
9,3335.270,3336.312,2903.385,3142.719,3703.900
10,3325.243,3353.375,2895.596,3118.750,3709.100
11,3329.162,3344.344,2907.308,3128.656,3693.300
12,3319.811,3323.406,2888.731,3134.469,3667.100
13,3305.676,3341.312,2898.846,3127.281,3669.950
14,3304.892,3345.562,2898.423,3111.281,3674.450
15,3316.568,3343.000,2902.539,3124.438,3672.450
16,3324.459,3350.125,2915.154,3134.156,3683.700
17,3325.459,3345.688,2918.346,3128.812,3675.650
18,3319.081,3341.281,2918.711,3133.875,3694.050
19,3314.351,3362.375,2906.039,3149.500,3682.100
20,3316.568,3351.438,2900.461,3137.875,3698.100
21,3314.838,3358.062,2910.461,3157.469,3687.700
22,3335.487,3348.156,2893.115,3162.469,3709.650
23,3326.838,3337.688,2914.481,3150.688,3691.600
24,3324.487,3331.781,2888.058,3154.062,3718.050
25,3314.406,3354.938,2920.481,3151.469,3693.550
26,3329.865,3354.969,2917.308,3135.812,3677.150
27,3329.892,3354.781,2898.269,3141.031,3688.800
28,3319.270,3359.125,2905.269,3132.469,3707.750
29,3324.378,3341.188,2906.096,3160.875,3709.950
30,3326.757,3333.625,2904.154,3151.625,3699.600
31,3318.378,3338.438,2907.173,3134.000,3720.550
32,3318.270,3366.406,2902.981,3134.344,3672.200
33,3332.919,3336.406,2913.115,3151.844,3732.250
34,3323.406,3337.375,2893.904,3135.469,3683.350
35,3322.757,3341.625,2906.346,3138.375,3682.700
36,3337.000,3341.906,2900.500,3151.969,3696.400
37,3324.378,3348.594,2914.865,3131.406,3687.800
38,3326.135,3344.750,2909.577,3153.969,3701.450
39,3315.459,3347.594,2912.808,3147.000,3720.050
40,3321.487,3321.312,2914.865,3160.094,3723.050
41,3334.703,3335.000,2914.096,3143.688,3709.350
42,3331.811,3350.062,2912.827,3115.125,3706.350
43,3327.162,3340.000,2886.808,3143.719,3705.050
44,3335.568,3353.031,2908.481,3118.219,3700.200
45,3328.919,3345.062,2908.327,3131.625,3696.800
46,3329.000,3352.906,2898.981,3165.594,3677.900
47,3332.108,3338.719,2901.635,3142.625,3690.600
48,3334.027,3359.375,2893.731,3148.125,3708.250
49,3318.865,3335.750,2899.096,3134.000,3690.650
50,3334.649,3352.312,2914.096,3154.812,3692.300
51,3326.162,3345.562,2900.404,3137.062,3724.450
52,3317.676,3347.594,2903.154,3135.188,3688.700
53,3342.541,3355.719,2909.808,3156.031,3697.700
54,3319.784,3341.188,2896.577,3135.906,3713.850
55,3330.622,3317.750,2919.654,3141.844,3720.200
56,3324.757,3352.469,2902.923,3150.344,3684.400
57,3318.108,3338.969,2918.481,3139.875,3692.850
58,3344.324,3358.688,2908.173,3119.406,3701.600
59,3318.351,3340.094,2894.750,3135.219,3713.050
60,3318.243,3349.625,2905.577,3153.125,3741.350
61,3315.919,3374.031,2897.750,3145.188,3697.850
62,3335.622,3354.906,2925.519,3128.281,3685.750
63,3310.081,3337.750,2910.404,3151.406,3728.500
64,3333.513,3347.562,2916.769,3137.875,3702.100
65,3320.297,3356.031,2918.442,3134.469,3683.000
66,3323.108,3363.781,2890.211,3137.469,3693.650
67,3307.432,3362.688,2913.231,3148.781,3688.000
68,3336.703,3359.906,2904.750,3129.188,3680.350
69,3343.892,3341.188,2904.519,3129.312,3696.700
70,3313.703,3354.938,2894.558,3145.312,3709.400
71,3333.568,3367.406,2912.269,3138.375,3685.150
72,3315.459,3338.250,2900.654,3131.938,3704.150
73,3307.513,3366.375,2920.423,3153.594,3695.600
74,3341.703,3335.281,2889.327,3128.406,3648.600
75,3335.297,3336.406,2907.000,3161.188,3712.300
76,3332.487,3351.062,2904.385,3123.562,3696.500
77,3324.459,3358.719,2922.827,3133.875,3697.150
78,3303.270,3335.562,2910.481,3138.938,3708.000
79,3314.568,3342.281,2901.327,3135.000,3688.350
80,3338.594,3365.000,2921.289,3145.062,3703.050
81,3328.243,3356.906,2906.058,3149.000,3663.850
82,3314.838,3354.688,2906.058,3155.312,3697.000
83,3328.378,3370.500,2910.327,3150.906,3642.750
84,3312.432,3370.344,2912.308,3142.500,3718.850
85,3318.676,3342.031,2908.461,3136.219,3692.300
86,3307.594,3362.781,2921.365,3146.344,3707.500
87,3329.297,3357.031,2925.385,3147.094,3711.700
88,3316.054,3369.969,2910.904,3129.031,3689.250
89,3318.270,3362.469,2910.231,3130.906,3717.900
90,3314.649,3361.625,2911.692,3148.031,3677.800
91,3333.919,3363.562,2920.827,3133.688,3688.500
92,3331.054,3351.781,2914.115,3139.094,3690.250
93,3335.378,3359.344,2908.269,3149.719,3698.950
94,3344.243,3353.281,2891.211,3139.812,3679.950
95,3335.297,3355.094,2909.481,3157.406,3720.000
96,3337.270,3347.469,2909.846,3151.906,3673.600
97,3287.973,3334.406,2899.211,3137.781,3711.100
98,3333.054,3378.938,2915.923,3141.531,3676.600
99,3333.000,3352.656,2926.519,3161.906,3687.500
100,3334.676,3381.500,2919.615,3151.062,3715.200
101,3332.946,3356.594,2915.019,3149.062,3696.150
102,3343.243,3344.938,2902.923,3130.375,3709.500
103,3331.297,3356.344,2917.577,3131.719,3689.600
104,3324.541,3344.531,2911.019,3147.469,3685.650
105,3310.406,3347.875,2900.173,3151.688,3707.250
106,3340.703,3335.531,2911.846,3145.406,3735.200
107,3341.108,3342.062,2903.385,3122.750,3701.500
108,3324.459,3364.406,2912.827,3158.031,3694.000
109,3337.297,3346.344,2900.654,3120.062,3706.200
110,3318.351,3348.188,2922.673,3163.094,3702.150
111,3332.784,3372.000,2980.039,3213.062,3725.900
112,3355.487,3367.969,3032.827,3247.781,3746.750
113,3393.865,3382.250,3083.789,3260.094,3754.800
114,3445.135,3402.969,3163.289,3256.656,3778.500
115,3468.757,3421.844,3266.885,3257.625,3797.250
116,3526.730,3449.250,3395.750,3240.531,3823.950
117,3597.135,3502.688,3543.192,3294.438,3853.250
118,3661.027,3509.562,3696.635,3284.719,3865.800
119,3771.406,3567.750,3846.846,3263.344,3945.850
120,3893.865,3638.750,4012.808,3304.969,3976.350
121,4035.568,3735.781,4163.289,3298.812,4050.550
122,4212.784,3828.469,4289.077,3344.812,4126.700
123,4396.162,3924.750,4407.231,3389.688,4173.100
124,4527.459,4088.094,4481.673,3399.281,4278.250
125,4669.567,4237.750,4571.519,3431.062,4368.150
126,4773.297,4402.312,4619.385,3482.812,4408.150
127,4899.297,4541.375,4666.519,3531.844,4397.650
128,4984.378,4664.125,4689.904,3609.312,4437.450
129,5013.784,4766.406,4698.250,3659.344,4504.950
130,5088.811,4787.938,4734.231,3749.000,4480.100
131,5117.729,4895.281,4728.789,3811.531,4520.800
132,5171.000,4913.531,4755.865,3925.250,4542.300
133,5179.838,4919.156,4746.385,4028.875,4536.850
134,5179.865,4957.969,4764.269,4123.188,4552.400
135,5203.378,4969.375,4757.423,4231.438,4573.750
136,5200.108,4998.094,4784.750,4336.031,4576.650
137,5220.486,5006.438,4774.442,4485.719,4559.350
138,5224.000,4991.781,4774.519,4529.094,4581.200
139,5262.541,5018.094,4763.904,4622.688,4601.650
140,5262.676,5032.094,4761.365,4683.406,4555.750
141,5249.973,5012.750,4786.019,4756.906,4611.250
142,5274.243,5037.719,4775.500,4797.375,4588.950
143,5250.567,4988.500,4779.039,4811.844,4616.000
144,5247.271,5017.469,4816.635,4854.250,4576.650
145,5254.514,5016.938,4766.692,4890.406,4626.550
146,5270.811,5029.406,4780.077,4879.531,4566.800
147,5280.054,5038.938,4780.481,4932.125,4560.200
148,5278.892,5008.250,4767.308,4956.094,4574.050
149,5280.027,5039.344,4804.981,4972.094,4603.100
150,5270.595,5041.469,4779.981,4965.125,4645.050
151,5261.757,5030.125,4810.481,5011.875,4636.750
152,5278.027,5059.625,4785.808,5017.312,4652.700
