 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
1,3660.472,3958.484,3559.829,3214.243,4307.667,3700.375,4409.032,4378.846,4505.062,3775.115
2,3666.306,3937.064,3567.043,3224.811,4350.810,3743.688,4431.161,4346.269,4520.781,3816.346
3,3686.361,3977.645,3561.514,3203.568,4298.286,3719.562,4418.839,4358.769,4498.531,3806.231
4,3681.250,3956.839,3559.643,3226.838,4326.190,3734.062,4426.709,4336.500,4520.969,3775.539
5,3675.111,3963.032,3560.386,3233.351,4309.095,3717.312,4419.613,4335.346,4490.625,3790.577
6,3671.667,3957.226,3544.829,3232.270,4313.095,3733.250,4402.452,4360.346,4489.281,3817.039
7,3666.806,3947.839,3542.857,3210.594,4283.048,3705.500,4435.613,4381.000,4493.906,3810.154
8,3685.667,3968.903,3549.457,3232.216,4285.667,3686.000,4428.516,4375.308,4529.969,3779.769
9,3684.389,3979.323,3556.957,3215.676,4283.905,3712.375,4417.387,4344.269,4530.812,3801.385
10,3665.028,3955.129,3535.300,3220.351,4328.524,3726.625,4421.291,4356.461,4470.406,3772.346
11,3685.056,3970.161,3560.957,3207.459,4303.048,3729.375,4398.419,4355.615,4512.438,3799.923
12,3648.833,3952.516,3540.371,3216.216,4335.000,3756.375,4400.355,4355.231,4501.094,3826.885
13,3676.056,3960.290,3544.400,3230.838,4314.571,3709.188,4398.097,4352.269,4498.312,3778.961
14,3669.528,3936.032,3548.871,3235.838,4296.667,3744.500,4387.807,4376.154,4514.219,3792.346
15,3692.250,3982.871,3543.200,3223.649,4286.476,3729.312,4433.291,4384.539,4522.438,3805.461
16,3692.917,3940.903,3541.600,3223.865,4323.048,3734.625,4407.581,4347.385,4493.094,3809.885
17,3666.750,3958.903,3546.586,3249.594,4311.905,3766.750,4362.677,4355.269,4536.531,3820.192
18,3664.194,3968.548,3542.157,3231.270,4295.762,3708.625,4402.097,4370.846,4510.719,3809.539
19,3656.222,3971.774,3563.714,3240.730,4319.857,3710.812,4411.903,4342.615,4515.562,3812.731
20,3678.444,3969.484,3570.086,3231.406,4337.810,3752.688,4405.258,4357.885,4493.594,3797.615
21,3644.306,3958.097,3542.414,3220.189,4304.000,3718.000,4404.355,4358.615,4486.062,3833.654
22,3685.167,3946.774,3549.329,3232.568,4313.857,3723.188,4401.419,4368.346,4517.781,3808.269
23,3680.139,3967.548,3550.914,3224.703,4356.143,3720.125,4394.129,4357.231,4507.094,3810.115
24,3667.389,3959.548,3543.443,3223.946,4330.810,3710.062,4405.032,4357.808,4512.875,3801.923
25,3671.667,3976.581,3541.414,3224.378,4316.095,3713.750,4423.581,4363.039,4487.719,3827.115
26,3677.528,3964.355,3549.057,3238.513,4320.524,3692.938,4397.323,4354.769,4522.031,3808.461
27,3683.667,3987.097,3546.686,3225.811,4293.905,3705.188,4394.581,4333.961,4474.344,3826.923
28,3667.833,3962.129,3542.271,3229.622,4301.762,3710.188,4393.581,4355.500,4478.750,3789.769
29,3672.361,3965.000,3555.500,3243.135,4322.810,3707.375,4402.548,4348.577,4501.875,3804.923
30,3670.972,4013.194,3540.814,3238.162,4326.143,3734.438,4402.677,4366.769,4511.719,3822.846
31,3681.444,3964.806,3550.300,3254.189,4319.714,3709.625,4392.452,4366.808,4514.656,3803.231
32,3675.389,3974.936,3556.986,3241.541,4290.286,3746.688,4411.064,4357.231,4519.500,3800.308
33,3672.194,3974.452,3558.529,3245.135,4311.619,3731.000,4403.581,4347.846,4531.938,3818.308
34,3657.194,3975.936,3546.700,3245.054,4302.667,3734.875,4406.903,4365.346,4509.438,3795.423
35,3646.806,3987.097,3549.957,3233.432,4318.143,3735.750,4391.452,4336.423,4495.719,3810.269
36,3671.278,3972.839,3552.857,3235.757,4309.429,3706.562,4388.871,4370.961,4527.719,3821.885
37,3645.528,3962.839,3544.471,3248.324,4294.524,3729.500,4393.258,4340.808,4499.594,3792.000
38,3661.250,3957.323,3544.757,3243.757,4332.238,3693.625,4400.936,4326.346,4518.375,3785.423
39,3667.306,3993.161,3549.514,3236.649,4294.429,3736.625,4403.839,4329.423,4484.000,3820.039
40,3666.611,3986.258,3541.457,3255.622,4305.000,3717.625,4403.968,4359.539,4488.094,3828.000
41,3683.222,3957.419,3549.329,3251.865,4321.476,3706.188,4373.774,4348.269,4499.750,3804.077
42,3666.722,3969.839,3544.014,3233.676,4303.952,3719.438,4391.258,4345.423,4504.438,3823.808
43,3664.972,3983.677,3543.543,3228.865,4308.333,3707.000,4414.903,4357.692,4510.031,3831.885
44,3666.056,3967.871,3536.471,3249.432,4321.619,3735.688,4400.903,4366.539,4511.344,3805.346
45,3671.639,3981.548,3539.957,3238.027,4314.286,3697.562,4404.291,4363.692,4521.188,3795.039
46,3661.556,3946.258,3539.857,3240.594,4337.190,3716.062,4378.871,4359.192,4526.688,3814.269
47,3660.194,3964.613,3531.243,3241.216,4323.905,3712.312,4405.097,4355.385,4488.094,3790.308
48,3642.333,3973.387,3539.300,3223.081,4286.762,3718.812,4383.871,4358.846,4516.500,3811.000
49,3650.833,3962.936,3534.171,3240.081,4318.524,3716.000,4425.548,4355.961,4479.656,3793.654
50,3674.722,3984.581,3539.329,3261.892,4303.619,3689.000,4388.742,4334.308,4491.594,3794.885
51,3660.278,3977.516,3547.586,3235.432,4316.381,3737.625,4399.032,4378.385,4492.594,3827.000
52,3658.972,3951.387,3541.900,3255.541,4275.714,3716.938,4392.709,4326.808,4534.906,3814.346
53,3670.111,3974.903,3542.243,3226.216,4337.095,3705.375,4413.548,4398.115,4496.625,3787.500
54,3660.167,3991.290,3551.029,3242.081,4322.762,3700.000,4382.677,4332.615,4508.250,3801.385
55,3660.083,3958.226,3549.814,3232.946,4293.619,3714.312,4373.193,4330.846,4492.625,3797.461
56,3652.139,3959.968,3530.986,3235.568,4281.762,3688.938,4380.452,4337.385,4493.562,3803.192
57,3648.528,3955.129,3537.371,3248.378,4279.238,3715.375,4388.774,4368.385,4504.031,3802.731
58,3678.694,3969.258,3559.900,3246.081,4337.286,3713.125,4390.032,4319.385,4500.156,3788.846
59,3647.028,3976.581,3547.100,3238.513,4317.952,3705.062,4401.419,4329.615,4476.812,3816.000
60,3665.111,3967.903,3538.914,3238.054,4327.762,3691.750,4391.032,4360.000,4500.312,3785.961
61,3638.333,3962.097,3544.857,3250.243,4323.905,3714.812,4406.774,4317.808,4474.250,3784.154
62,3649.528,3958.323,3539.171,3251.892,4311.381,3700.562,4388.871,4337.692,4488.188,3799.269
63,3677.861,3969.355,3540.329,3238.135,4298.762,3702.438,4398.774,4321.846,4509.094,3811.115
64,3671.056,3978.871,3538.857,3248.081,4328.667,3728.875,4395.323,4338.731,4517.625,3785.077
65,3670.111,3961.387,3534.886,3236.622,4290.476,3712.688,4371.742,4358.923,4489.312,3810.269
66,3658.833,3952.419,3531.543,3247.784,4321.333,3694.875,4398.161,4355.308,4488.719,3804.077
67,3644.167,3981.871,3535.229,3244.676,4326.857,3704.188,4393.323,4348.346,4485.406,3803.615
68,3656.944,3975.710,3527.543,3240.081,4345.000,3694.688,4380.709,4345.846,4475.469,3807.769
69,3655.639,3972.064,3525.257,3256.351,4305.667,3726.188,4393.419,4359.346,4498.438,3819.885
70,3660.028,3973.516,3552.157,3236.000,4327.143,3712.125,4357.484,4377.385,4502.531,3774.039
71,3682.722,3971.387,3529.371,3227.297,4304.571,3720.375,4388.903,4369.154,4476.656,3815.500
72,3656.639,3955.774,3538.400,3246.649,4314.762,3712.688,4384.355,4357.000,4509.625,3818.192
73,3653.500,3990.452,3530.500,3233.757,4327.476,3719.688,4388.484,4330.731,4498.781,3810.115
74,3676.889,3993.419,3536.329,3249.784,4326.524,3709.750,4389.677,4326.461,4503.688,3803.577
75,3660.833,3970.194,3531.729,3244.432,4303.905,3702.250,4393.613,4341.692,4485.031,3786.577
76,3661.194,3941.032,3543.829,3236.757,4269.857,3702.312,4397.387,4326.923,4486.312,3811.731
77,3675.833,3966.097,3531.814,3254.703,4317.857,3709.312,4394.807,4358.654,4500.062,3790.846
78,3668.500,4023.000,3549.329,3234.487,4303.429,3696.000,4403.548,4350.654,4498.188,3800.231
79,3669.583,4018.097,3542.157,3249.568,4299.238,3721.688,4380.000,4347.885,4516.031,3792.308
80,3678.389,4062.613,3536.271,3237.568,4328.571,3713.750,4378.709,4359.192,4494.594,3792.615
81,3652.889,4038.548,3536.457,3248.541,4326.810,3722.812,4370.968,4332.461,4548.969,3778.961
82,3660.556,4054.645,3539.257,3240.622,4320.524,3732.062,4391.000,4346.885,4491.031,3777.192
83,3678.111,4033.839,3546.572,3253.703,4295.714,3693.500,4416.097,4339.346,4508.469,3803.039
84,3650.028,4002.419,3541.300,3238.108,4318.333,3713.312,4383.387,4350.500,4505.312,3796.769
85,3665.306,4033.936,3550.029,3248.784,4302.524,3684.812,4388.387,4342.077,4510.312,3797.461
86,3676.861,4005.774,3539.414,3246.513,4321.143,3687.812,4417.839,4341.039,4496.781,3815.692
